"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.42063446728593,0.521594118130793,0.956390691730194,0.226218438360485,0.225619945889489,0.227443116403095,0,1337.42374210964,392.75486314738
"2.5%",1.7281736394362,0.383454680810856,0.845366619575437,0.361648615076395,0.360064209472624,0.363836468010312,0,1025.48666270984,293.690637906372
"2.5%",1.14558245165786,0.594248513486741,1.2455458576899,0.41176522089431,0.411091422450042,0.41279116690272,1.50036209980442e-05,1081.23474708953,290.65602918462
"2.5%",0.929508933977795,0.762623087579037,1.44020064250488,0.457085199943617,0.456436503840925,0.457846449601391,0.00143660341356244,1180.49012321876,362.987692620458
"2.5%",1.82361697193319,0.381242848165309,0.750622875135555,0.329240635594995,0.328473958841229,0.330054178072823,0,1211.58553959897,379.833068651909
"2.5%",1.45475690478549,0.462957753447104,0.977823694692164,0.29584795908058,0.294692092937378,0.297418234415665,0,1070.0356813813,318.578501298715
"2.5%",1.1451674875023,0.657671484649999,1.19847427299881,0.254722329325328,0.254143544675361,0.255658509244651,2.69756856852155e-08,1508.35646512972,379.189568679878
"2.5%",1.33883057050418,0.542715072246309,1.03853310445163,0.331054321554169,0.330352598586127,0.331913920069886,0,1239.8599916498,377.709832983763
"2.5%",1.58474319403837,0.430147801496179,0.860597655827,0.174439581168976,0.173449594188445,0.178022076839493,0,1270.57560028634,351.719531631384
"2.5%",1.57424223831325,0.464442352519624,0.895521142160136,0.216069056762289,0.214953995571365,0.218207466868402,0,1207.19920665102,333.730430702556
"2.5%",1.20401438397275,0.587434190802967,1.20353640652082,0.370523432502066,0.36983939589766,0.371306596711567,2.49907872174049e-09,1147.29379308056,337.61865033787
"2.5%",1.64779279502999,0.427325008304234,0.890127143206617,0.270420712635446,0.269064427879611,0.271484406001187,0,1077.39059896324,311.751943708463
"2.5%",1.65934354089785,0.429891535070896,0.836883421547022,0.278994820761126,0.278059190541733,0.27994203719557,0,1152.09050202913,303.863438770359
"2.5%",1.6016949525856,0.444979600612726,0.853053535685785,0.194890828262141,0.194318999221609,0.196990683529474,0,1238.31336111208,352.229642690328
"2.5%",1.47434002028772,0.480039460047776,0.945007164523206,0.301288519858621,0.300490895616122,0.302448536392142,0,1123.46947025882,296.605046679925
"2.5%",1.50129276203279,0.478805285531227,0.895682264425731,0.269959456917302,0.269375253144358,0.271086392264806,0,1333.28019193276,372.438353403593
"2.5%",1.60076376887751,0.467073319821383,0.849926287816197,0.230581794851376,0.229977264935054,0.231429149925834,0,1430.97234880922,385.336472269188
"2.5%",1.18895255299865,0.612899770219938,1.12241717299935,0.27337086976417,0.272771021354568,0.27441582580102,8.92921292461324e-11,1421.24914561805,380.818314384652
"2.5%",1.35568172635411,0.495221266742291,1.0925834729387,0.300821697590168,0.299821659344377,0.302496507754742,5.6399329650958e-14,929.31965883961,262.569465584283
"2.5%",1.94989784009328,0.360137031031232,0.711013986880003,0.31418746866081,0.313581316241953,0.315022571481153,0,1387.87242204468,451.9754728624
"2.5%",1.38789169583179,0.485415951272482,1.06566523432106,0.292990270067041,0.29183529386536,0.295508594287081,2.66453525910038e-15,1040.9797292737,287.986472502078
"2.5%",2.36196451666108,0.287318498883424,0.600793551268543,0.37515192617557,0.374478891896918,0.37633284437608,0,1302.85079765746,406.10970476075
"2.5%",1.23932166591033,0.563857382976381,1.12416857435639,0.309336386304838,0.308712128894415,0.310275043704461,1.41695544186859e-11,1246.38863972423,353.36966410171
"2.5%",1.24048189179211,0.592020352942861,1.09946076324297,0.28974278023609,0.288925809380625,0.290451209067197,7.99360577730113e-14,1303.45597468969,379.578030604919
