"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",0.914060181644251,0.738356784859146,1.59791940330165,0.300829359317302,0.299761081388359,0.303642563450395,0.000868435761637754,930.74208820409,277.454401017972
"2.5%",0.828784066421215,0.86997183413636,1.56831901208831,0.39109363472098,0.390264805994295,0.391817084741338,0,1129.14388256995,318.47990064822
"2.5%",1.08975978706403,0.656947472479307,1.27473060110289,0.140450349088431,0.13947777730328,0.143315654556367,0.00200848890800409,1177.48082263327,314.509206082078
"2.5%",0.86708619003209,0.773300487868456,1.73134759071822,0.283209647791096,0.282123732692276,0.285362601112602,6.14036634871695e-08,977.904316999192,266.946135101887
"2.5%",1.10852776667814,0.612159679948483,1.29830275392956,0.332137061131659,0.32970433724463,0.332971100133584,0.00166097097899165,988.339368516553,309.970488990591
"2.5%",0.893417056071871,0.694925117810991,1.64526319587836,0.302630695219402,0.300977745235663,0.305059721097692,0.000289360443243236,845.228815569503,247.337851848531
"2.5%",0.967655370267091,0.697159003124799,1.46654907734257,0.306630422238498,0.305646399423592,0.308670687907326,0.240785086924583,964.94603233323,268.540234554107
"2.5%",1.34749260789311,0.478602112949911,1.14862219536526,0.387511999223175,0.386150866522686,0.391519091426937,2.44808617821946e-11,833.010977273109,264.663452441567
"2.5%",1.26179134198237,0.512224740046436,1.20213547278949,0.339945860839296,0.337022265772721,0.34423189914917,2.62560160280145e-08,864.770883148537,276.203871601415
"2.5%",0.89379193947517,0.689698150040308,1.70340229000395,0.346100150210212,0.343310818142021,0.351982131094845,0.000244525393167105,771.091936432162,256.103084842946
"2.5%",0.792949213108876,0.845963023966283,1.79866753263244,0.448473329564862,0.447730164670918,0.449502190786946,0,960.363286072397,307.78186834181
"2.5%",1.17137398929691,0.583425089012878,1.21911892754298,0.467346499861868,0.46645454258015,0.469206482865418,2.24265227477538e-06,910.453460000165,263.834992971841
"2.5%",0.912277069873621,0.739307256935718,1.56592143073843,0.313416178324032,0.312766532989676,0.315363600034234,0.000582375425047577,1014.30270056982,285.207294944915
"2.5%",1.04236770488494,0.658540614635759,1.3727194096671,0.28993480935169,0.289145989847574,0.291707910934147,0.142352784033791,1019.18268556971,305.932422207261
"2.5%",1.32576644182209,0.536941628696885,1.09118752570741,0.426180784328086,0.425434025383491,0.428179738201431,4.44089209850063e-16,958.234535337225,283.666116858174
"2.5%",1.35314772060275,0.535268705656201,1.0645462602308,0.2101191183356,0.208854262408661,0.211923714654701,0,1148.45110100604,322.556714600731
"2.5%",0.75961134339844,0.886673702648416,1.99329627261833,0.288594728945485,0.287371891554946,0.290242253078198,0,1016.00384877868,304.262845803336
"2.5%",1.09924365663023,0.646712334765177,1.25159348623198,0.188503294243084,0.187890092076286,0.190067717674347,0.0005218264830118,1177.46144040474,297.637645315196
"2.5%",0.941811326774185,0.776218103327014,1.47303899746149,0.280994658979773,0.280080730073251,0.281741725253143,0.00920152968190324,1173.38095220798,311.060239595814
"2.5%",0.819702974261686,0.898554659081454,1.72568182540974,0.219205117285921,0.218170913148853,0.220794539765131,0,1237.04804943923,350.280989859908
"2.5%",1.18749325936668,0.611942318360283,1.22340748875597,0.200479531120877,0.198716761652079,0.203372242565351,4.11099891906019e-08,1084.30706859758,311.503927262006
"2.5%",1.37163174286549,0.510107961501966,0.96959615766641,0.386925469175372,0.386106694896321,0.387790668758136,0,1051.57060304001,303.810914598465
"2.5%",1.18796036056021,0.565076486141006,1.18875911562637,0.357745596786281,0.356103910303169,0.360780458040638,1.0492325883682e-06,984.350594233834,264.691938751749
"2.5%",0.602184847912139,1.03282797088301,2.48156347337702,0.290218826958205,0.288551663390752,0.292336446717217,0,805.180187085675,257.70616093563
"2.5%",1.12178527548532,0.617508023728523,1.25580569758422,0.340525585647931,0.338180082275196,0.341276674486139,0.000149783299169037,1062.68906803483,326.271464339834
"2.5%",1.0422257537633,0.65715277763266,1.40084264907628,0.309117561790655,0.30811399786119,0.310260556629853,0.167170038319673,978.961606534191,285.795528824195
"2.5%",1.04386709251885,0.704116498840735,1.30171807495713,0.283051921507642,0.282273982060935,0.283984098298303,0.0786363417528602,1194.85725164935,311.157389673422
"2.5%",0.799232369277037,0.846876138209453,1.78444821860431,0.332775551996438,0.331146218630287,0.333501422201176,0,990.46253150834,284.992959058254
"2.5%",1.23314228522368,0.556442822095094,1.18079033657915,0.407850586934982,0.406914808805474,0.412383421319863,3.68588493060429e-09,805.385550774863,245.830937752825
"2.5%",0.876180065366875,0.76262775172346,1.68385340820284,0.37287858565129,0.370850659155766,0.376235344709804,3.89132516653845e-07,902.856797994661,249.179287211083
"2.5%",1.01246445043834,0.699778888775529,1.41072538149813,0.263620736120583,0.262916120086979,0.266566741315576,0.64035233943989,1023.41631809238,281.203977360516
"2.5%",0.951489261005174,0.714808746405132,1.54362822176408,0.284752525539145,0.283250036006255,0.287826523748397,0.0679201093069544,983.63290878783,265.289371472001
