"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",2.03731684687767,0.248895171810879,0.949645630622816,0.678308293651691,0.677399438508485,0.679305739791218,6.37948645909603e-07,371.216104789164,103.586933804622
"2.5%",1.49575303455922,0.424981809872177,1.00773469909638,0.51943205575451,0.518347470894514,0.520455870034894,8.50649861661168e-09,657.795956067754,172.74943884599
"2.5%",1.51283358159412,0.373198512653782,1.18924478998189,0.552142973897176,0.551061479628113,0.553262705209999,6.80940701069943e-06,411.429532037414,117.661571610348
"2.5%",3.53724136158834,0.144955569978817,0.544596172013318,0.552118376308314,0.551009110260582,0.553296246007715,1.84509435374736e-06,427.344788770892,159.890071944513
"2.5%",1.55967559595754,0.315705094652544,1.41931754647804,0.579871640729827,0.578564033057868,0.581108132456101,0.000450289096761702,300.569268331207,99.0562852845883
"2.5%",1.48948636928266,0.371256616903465,1.27788673629722,0.544072177155832,0.543083695025843,0.545183504352428,4.73482084375476e-05,356.522715400014,107.460789112508
"2.5%",1.50957695350284,0.371293810370991,1.1716920357469,0.408097559360909,0.406500726078566,0.409616545198664,2.49887767895807e-05,403.304101567304,121.476351482452
"2.5%",2.95326138279515,0.193228639509378,0.57947746879456,0.599344685290851,0.598310863215845,0.600328110675805,6.24561913298294e-09,557.032018763599,171.136243969855
"2.5%",2.33300668997326,0.257082650250743,0.714142910992053,0.599177994482176,0.598260535561035,0.600175321495707,3.59260177162923e-10,531.712028784217,194.431182887891
"2.5%",2.06487888248613,0.290769603282202,0.765872138450649,0.55966119979138,0.558759377852547,0.560620508662837,1.78945747109083e-11,658.398672128261,296.149647995202
"2.5%",2.25298322841074,0.233631149646545,0.77819540029149,0.507178260828736,0.506057135392334,0.508298529238547,2.23882039129819e-07,417.018305419006,135.006120529966
"2.5%",1.74808781966913,0.374868762131994,0.879930757877106,0.479052753398602,0.477902894784561,0.480001933484041,4.28108659633608e-11,680.293980975644,192.184484695989
"2.5%",1.71090064828539,0.327380476774265,1.16560251377595,0.593902748057277,0.592742392874421,0.594884585741761,6.60042415168149e-06,390.553899425543,111.417581336057
"2.5%",1.68616010091311,0.354309592303145,0.967951852891426,0.474259620327646,0.472919629438979,0.475235274218669,3.02007050478892e-08,526.63104392916,164.169218368521
"2.5%",2.12957912419952,0.253627381690451,0.792401142256895,0.555316785874776,0.554152201712935,0.556212852595861,1.77555239844196e-07,454.757288432783,132.10693815217
"2.5%",1.67371599313864,0.359208872265495,0.969837365340001,0.47596667306724,0.475050163178273,0.477080073472805,4.92318141809278e-09,551.156998573206,157.460675222496
"2.5%",1.52539263046206,0.348981391188079,1.16396245310576,0.444174823557827,0.442742147415338,0.447711148270407,5.1874781088479e-05,353.929222517461,111.954541112868
"2.5%",2.56958043109104,0.194536081855408,0.830280299094195,0.574625703277228,0.573520078063037,0.57838861555338,1.84453913509852e-05,281.016805857412,103.636371784827
"2.5%",1.04020815314484,0.52802185673993,1.70672519052458,0.549973901789833,0.548942551880931,0.550953367950002,0.545690264689646,391.141354477993,117.060914319916
"2.5%",1.44828936033379,0.444059084153639,1.08207419717082,0.519074382846662,0.517988264623945,0.520104498566919,2.12398130194913e-08,615.813385556981,168.181362457245
"2.5%",1.10686728531167,0.458648457527175,1.87858236345267,0.674927126399122,0.67387388327281,0.676014503110424,0.220649638596453,305.433652077504,88.1572093464932
"2.5%",2.48073081234976,0.243632926266775,0.677791419675521,0.475887767129994,0.474762100984353,0.476868406066346,1.99667393729897e-10,566.943227783794,186.892087548071
"2.5%",2.25206028307232,0.257466634395193,0.759033142920333,0.515774691040173,0.514689109614197,0.516778361588172,3.73988529034364e-09,504.574601861931,159.558974562873
"2.5%",1.90525595805091,0.311442764928719,0.894132347687134,0.388913825259471,0.388047671755717,0.39026287209059,8.32296676023248e-10,543.699707336017,166.094261627579
"2.5%",2.04671768579683,0.312501041326194,0.768936295546121,0.396367258506088,0.395355812356584,0.397385649646069,5.94191362779384e-13,659.026257497735,178.165347188462
"2.5%",1.11967886494443,0.554307340218725,1.44839081981178,0.558461844788001,0.557455029022816,0.559409395831504,0.0497308291849414,530.895722589576,152.902138236464
"2.5%",1.99329752770024,0.307959703717299,0.809018861405295,0.310411502003995,0.309554704019333,0.311424829446827,6.31683594320975e-11,644.181625745393,186.451388378866
"2.5%",2.18958538308355,0.264987355131041,0.786328676145136,0.42471493735469,0.423280771783906,0.425656531047442,4.01918587300543e-09,479.074940819555,148.087112913873
"2.5%",2.82695568928032,0.207843990479089,0.553384241972793,0.437534929469622,0.436520950252672,0.438533015918161,8.15703060652595e-12,670.050228033555,211.637963598822
"2.5%",1.14466327328464,0.502775161786728,1.58114672358094,0.679215314948073,0.678255503616324,0.680184171678402,0.0413622360028001,407.962221386369,117.56245693203
"2.5%",1.78746550557884,0.331164270066842,0.988545831416192,0.598435455617812,0.597367094417241,0.599404266460802,6.87130807808245e-08,483.051366616394,132.273561792655
"2.5%",1.56879660212478,0.432201602365886,0.965321933910819,0.398833674519982,0.397748739955676,0.399800811566516,2.96003221933461e-11,757.981871349444,193.672589270153
"2.5%",1.62254313829911,0.291495300940843,1.3542267373328,0.567933310441868,0.56557799724192,0.571621265440489,0.000760047541042752,271.059123038998,91.4722480845497
"2.5%",2.38528819890269,0.264270269379702,0.671509065838623,0.233322912323586,0.232343602481635,0.234196999096518,3.81916720471054e-13,801.326133999973,283.620376523393
"2.5%",3.12101047120831,0.173956305987364,0.604566585001916,0.596334461019067,0.595454736148336,0.597569746027022,2.40118370964382e-07,428.095755109193,141.175874823461
"2.5%",1.48869231011127,0.403345077489229,1.08277126356645,0.475389103805388,0.474451555866404,0.476387609366435,1.27244972869534e-06,536.613287780574,143.615813517856
"2.5%",2.32834892958778,0.229459031637138,0.778903851594097,0.513845372484671,0.512717428034851,0.51480594344313,2.71600036683139e-07,471.660896805476,143.022449701056
"2.5%",1.50376025489425,0.354900370911512,1.28866936897229,0.584641605381387,0.583531266603462,0.587253033735048,0.000141585449833004,315.59476169668,105.035594500156
"2.5%",2.17071349270119,0.293868074864186,0.727289993787721,0.559734550494725,0.558825155961179,0.560703145822711,9.48130463029884e-14,662.948274220547,218.844622886417
"2.5%",1.27047982814298,0.449027651792392,1.3243539961779,0.556544859318438,0.555554480839443,0.557517406802008,0.00115290881893504,467.049643496154,128.151623338253
"2.5%",2.57482114628209,0.200041166395114,0.768322787552207,0.596204521308903,0.595238464963698,0.597175622169136,1.00292254900936e-06,430.847492236279,134.990613412705
"2.5%",2.44784289022197,0.231082945063925,0.744464001293477,0.598732786901116,0.597696786417195,0.599696391293389,1.7898991844234e-08,503.309272034138,159.91425092239
"2.5%",4.14837764754932,0.127440251547512,0.473192013094984,0.554300359183129,0.553247554887281,0.555474018894117,9.6363898172136e-07,453.983869380413,170.351881610958
"2.5%",1.07099807353473,0.551143169684762,1.63557935935267,0.639121386201511,0.638147671487316,0.640331067414751,0.262315859254892,454.980507152145,136.202733947624
"2.5%",1.92189032697781,0.313287546156123,0.825723004486785,0.476208371979651,0.475025731633141,0.477186469782349,8.34045721376242e-10,566.410614148847,179.611539297356
"2.5%",2.52994765643574,0.264514394856436,0.590364606970096,0.439463971612808,0.438459188362808,0.440443842783014,0,814.840717744763,273.51705838348
"2.5%",2.60113143350441,0.220815080335191,0.624402117843619,0.518719512515302,0.51763561083083,0.51975399569901,2.87576629176556e-11,612.437566725395,203.065171213002
"2.5%",1.38752387756416,0.377100383251442,1.36105997324105,0.634834557845604,0.633897770983562,0.635970763704453,0.00146362056195182,348.514973150494,118.057607969419
"2.5%",1.22107128558722,0.381708235495024,1.65924629873184,0.612825722722936,0.611326157640271,0.618511429225283,0.0567241043444822,235.381453665689,80.488854882858
