"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",3.12953662817123,0.218497828432134,0.442182206883067,0.316969191812033,0.316310845678378,0.31767456383717,0,1565.23811868825,521.964313667802
"2.5%",1.80631973332772,0.403085524031152,0.744078063904122,0.171219878188285,0.170689877261065,0.17194636507144,0,1582.35870256426,438.233408198543
"2.5%",1.63130405316993,0.4647724424342,0.797207883456073,0.278293399161097,0.277608717283599,0.279049362903791,0,1716.46624363806,451.639837213901
"2.5%",1.76160046535523,0.423735760149911,0.76910378426539,0.232286903913094,0.231686450397601,0.232960328697461,0,1485.42161075557,386.683330972636
"2.5%",2.04165878701787,0.346957871285793,0.68702935167449,0.249675720532032,0.249048665140228,0.250887791489402,0,1380.7499353198,416.956241747894
"2.5%",1.70293438726231,0.437092144949035,0.771152106861409,0.317869764653524,0.317200791419938,0.318550056605242,0,1581.24975754649,475.107089059925
"2.5%",2.36225102482467,0.301377861749894,0.578943239305043,0.335175390402887,0.334429356503662,0.335931464325536,0,1393.16639533052,443.270058609007
"2.5%",1.62253528053428,0.459802768304594,0.825245390704226,0.292412439205275,0.291671012398949,0.293119339020735,0,1379.7531437986,381.532063007684
"2.5%",1.97175869652175,0.363037170311929,0.704236475647749,0.415862245818645,0.41517971249583,0.416672549761779,0,1218.99828522817,340.09308087346
"2.5%",2.07033417133181,0.357584390134366,0.668501172774315,0.271879353980553,0.271263125116513,0.272727799520436,0,1401.01055818472,395.651566651188
"2.5%",1.55659770074268,0.487116965823721,0.855540551486163,0.255490091927831,0.254954233976123,0.256467269462502,0,1546.80220540939,377.737897241474
"2.5%",1.80107865904101,0.410894975144284,0.767821800138285,0.292015588360895,0.291278714165346,0.292725742884723,0,1367.39266221415,384.985505315908
"2.5%",1.46101002599006,0.504327100739527,0.881239015727604,0.337784663887687,0.337103721504188,0.338547698526536,0,1513.91503604776,362.538380515724
"2.5%",2.39044473883725,0.299717700672692,0.579478915760765,0.292248692404034,0.291293458091976,0.292897735296105,0,1400.54042504056,410.028982546761
