"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.24193998816621,0.466740847471919,1.37658954418201,0.282745655880733,0.281673749559362,0.285307383878979,0.00249222149895001,480.684979368919,145.306258613612
"2.5%",1.69304024332431,0.380467784428643,0.976489422026472,0.231794675332222,0.230821309735637,0.232717317836563,9.69144764439989e-11,757.328636263301,203.199787278289
"2.5%",1.51261260138362,0.416113868433596,1.07646491399089,0.299983344324024,0.298912466973558,0.301504108890049,8.1226772419285e-08,559.484315456909,145.538457418838
"2.5%",1.01148340772689,0.593999904739355,1.66220443432456,0.168431140523548,0.167214623209197,0.169460145800026,0.838470733797006,608.483150520187,155.417062427835
"2.5%",1.83213157411818,0.289640831773953,0.948620445038182,0.412623539374774,0.410873151385096,0.416488989314767,7.98496812226546e-07,427.069065530865,147.732039152042
"2.5%",2.06291698543302,0.300335950902245,0.804351026333443,0.267704004074943,0.26651986652382,0.268589275308466,5.27622390222859e-12,662.45687205862,176.349938287466
"2.5%",1.53026072768878,0.367013520513225,1.09737624781273,0.325813775887331,0.324412700281555,0.327604754212755,9.58340995360629e-06,470.132411557381,135.210540787163
"2.5%",1.2265015557923,0.505088318338426,1.34797865586823,0.300796851270171,0.299750256609271,0.302136741837474,0.00126310041174782,560.264815189926,154.561665982249
"2.5%",1.79548351678695,0.328556941698804,0.88719552493787,0.518285359770037,0.51715540989782,0.519280223182351,1.02112496236373e-09,582.880112480506,230.144002609654
"2.5%",1.23417941261261,0.509364963815116,1.26687806278435,0.310034575635383,0.30895281015478,0.311507949736186,0.000323740437730091,644.243721303595,186.688618956308
"2.5%",1.45327844871062,0.452503056056486,1.0726198519161,0.233276894563694,0.232193871095919,0.234108745943849,2.63764468044769e-08,779.827295067041,222.552421818568
"2.5%",1.72420429917434,0.356323577408855,0.984251507413479,0.303013503325856,0.302083062432053,0.304703843576346,7.53771289829785e-09,574.875789074236,164.598500275988
"2.5%",1.14517244716866,0.552603318467134,1.35035964374633,0.223774263035837,0.22263411772135,0.224775277454669,0.0166576241350751,663.471958071344,171.427968205753
"2.5%",1.80452004820437,0.329705298332176,0.898589092637758,0.220147536902296,0.219249386939369,0.221370084194926,4.11802236754966e-09,641.119440212436,172.986325497056
"2.5%",2.0049025991936,0.306795727187723,0.831346430930451,0.306546148110625,0.30539789379783,0.30787953912927,1.13298259662997e-11,611.477781436526,182.186968018911
"2.5%",1.94423997136403,0.26397530172888,0.929867510624103,0.45385467470504,0.452600798033031,0.455754045476385,3.93378567542513e-06,385.452354656414,123.368707013954
