"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.44851706271297,0.511094730016154,0.919102313423279,0.275496771782936,0.274837564349357,0.276313100965563,0,1512.54752740851,393.289975131432
"2.5%",2.46015589025087,0.285868386869013,0.565071095109671,0.252052488055835,0.251480229759987,0.253428228080934,0,1452.88880556353,484.900987260823
"2.5%",1.96642400526289,0.380831406548984,0.703312868519282,0.227910398097969,0.227249701474368,0.228798391146688,0,1383.79996945896,378.807143448856
"2.5%",1.76311914581552,0.427753574058174,0.760309049717984,0.317930425409734,0.317255515284023,0.318632771880642,0,1585.16315575482,416.128425105769
"2.5%",2.11468460989932,0.334983255867125,0.665282824257545,0.329837948552979,0.329107119173455,0.330657036265391,0,1233.04217631401,357.939839901756
"2.5%",1.9064988358106,0.382963596841887,0.715828627371866,0.31471908530508,0.314102153093812,0.315468275717035,0,1403.59240836366,376.758343147536
"2.5%",2.00378812929386,0.346069975006104,0.713096774561465,0.204303155103592,0.202877143033502,0.206272636088719,0,1118.72793729601,320.616814100174
"2.5%",1.8960529926575,0.370985697408614,0.745791737792381,0.329259154933731,0.328620844481889,0.330267777530385,0,1212.26852884855,324.670994783728
"2.5%",1.35360425527842,0.559931264610987,0.940573102304795,0.216512663330347,0.215941555083292,0.217227924991169,0,1698.02106857587,453.031515429435
"2.5%",2.3762114997499,0.30628579454317,0.572599511450613,0.33695424619192,0.336322579030804,0.337782908856671,0,1480.39276383258,406.237955090975
"2.5%",2.78857999917374,0.271388256554368,0.494274564666666,0.235990733602566,0.235405363740845,0.236689847074128,0,1674.37112466311,515.829378838139
"2.5%",1.71158530913956,0.42246199318288,0.803216825976395,0.248413043705154,0.247728062725602,0.250094014206939,0,1344.89823722572,363.278278077588
"2.5%",1.76921337025647,0.407315892752024,0.792271749466411,0.194157454262802,0.193054521558162,0.19596281565826,0,1228.66941663173,343.556274255984
"2.5%",2.23192739029383,0.333578797014651,0.59483414075174,0.316585461479913,0.31584357813199,0.317285618408632,0,1506.54583073396,458.591094356282
"2.5%",1.23543099910404,0.557426921727326,1.12994523634823,0.363163013459634,0.361681017327935,0.365006651175407,9.35202804086543e-10,1032.14061935768,290.500133687671
"2.5%",1.87455640971319,0.391265551723294,0.737194343644683,0.252831360869073,0.252252275743052,0.254001965920542,0,1455.47267543732,381.632216574799
"2.5%",1.90571344898652,0.379561244867362,0.714813266582356,0.438082832822336,0.4373848036798,0.438774471072798,0,1309.61549069779,470.902726350996
"2.5%",2.60287103545284,0.283149116669752,0.501848280744143,0.156695468094115,0.156201699350915,0.15725560198724,0,1919.65099051622,615.806511256987
"2.5%",1.15121894050536,0.616732688451338,1.23884791716758,0.321550858808225,0.320861788526742,0.32303830788531,3.37151969675986e-06,1088.67328710556,293.855567254882
"2.5%",1.54247093865283,0.486351328928525,0.866959847421467,0.295629658728815,0.294907705880294,0.296309142839817,0,1487.41058722028,402.32266078206
"2.5%",1.78563398664805,0.415200692652889,0.737117875091831,0.256245944991849,0.255687705097585,0.257165427904966,0,1605.66006236935,424.222120666623
"2.5%",1.82927763058765,0.409400095651951,0.725771826645628,0.297290975191514,0.296640194158816,0.297989042630519,0,1591.63710695254,437.47702495982
"2.5%",2.53654377418265,0.261253863657986,0.557975488934719,0.350631434597825,0.349422643456763,0.351249905964821,0,1237.09786191902,362.111453764208
"2.5%",2.1319780820688,0.3185130824689,0.664858155561947,0.263999898744747,0.263420037382043,0.265498205984896,0,1241.77415485561,356.268114237762
"2.5%",2.60685667112806,0.275264419265721,0.523710574464954,0.191345382449813,0.19080714704953,0.192647132089903,0,1577.67450580966,470.47512783723
"2.5%",2.52164355956067,0.250341930302061,0.569970309853031,0.337680396407479,0.335675430215924,0.338468941423693,0,1061.02615576144,321.510788468975
"2.5%",1.82456527068554,0.401970809954586,0.742484146153047,0.313696372313114,0.313101480251108,0.314725803915989,0,1360.96268952742,358.890435207658
"2.5%",2.35604450507098,0.312832986701809,0.586268482811348,0.236087417412039,0.235514137585122,0.236811874228844,0,1668.19654956497,591.1659006821
"2.5%",2.1823837831414,0.338947238195133,0.628229440701964,0.252602171247023,0.252018191675374,0.253677437297035,0,1462.15087946915,412.785047826552
"2.5%",1.73906037720271,0.39188801212882,0.799544924051119,0.255081838889978,0.25446254409112,0.257316471041343,0,1132.41947542498,330.520310901021
"2.5%",2.03368858299146,0.356282134671828,0.681338338310496,0.315817511456118,0.315217704167826,0.316682271240439,0,1447.13316653649,383.898061578657
"2.5%",1.60273927968271,0.447966444994948,0.882674720274448,0.249062783983036,0.248419800812202,0.250708645635919,0,1354.94940023054,347.45001072983
"2.5%",2.69157036855615,0.242538551850668,0.534788695991457,0.31037590385406,0.309735832302995,0.31124221161577,0,1303.40053343072,410.62263304675
"2.5%",2.09056697798934,0.314700000007831,0.708498101545021,0.301434268815954,0.300743086669608,0.302521433346374,0,1140.11552400975,315.352711947962
"2.5%",1.63718957627931,0.462613111747997,0.800727089571404,0.278170253473197,0.277483327839222,0.278907772812161,0,1708.02062332824,622.541535082762
"2.5%",2.21471373050108,0.285183321959692,0.669189850404868,0.364035118389781,0.362846290527543,0.366247134949399,0,1063.72257006094,333.068490468559
"2.5%",1.96102080886628,0.38860853247464,0.693908992166599,0.236092888298173,0.235496116531019,0.23675494962909,0,1647.47503452331,457.114250765199
"2.5%",1.87382690849713,0.380186432034063,0.744456094638002,0.2243657517025,0.223612032350496,0.225431110394203,0,1324.38932398961,365.655245687585
"2.5%",1.66868091663996,0.446331362104539,0.826897867418091,0.253875785163063,0.253296215506599,0.254809446296062,0,1494.78200595512,413.382467803929
"2.5%",2.10269672009827,0.353212554510312,0.62624184060805,0.276207084154807,0.275553016299767,0.277009032474196,0,1561.50454748445,427.188794504051
"2.5%",2.09432075551887,0.349346233011916,0.654151402908332,0.249080855361971,0.24842990510008,0.250653317151453,0,1366.88259889877,387.411903242868
"2.5%",1.57789003331011,0.440852078563602,0.87381381862881,0.309237347752684,0.308592151730726,0.310121188269273,0,1245.08126861053,316.849133768367
"2.5%",2.14173782112162,0.344471996037067,0.634519843319017,0.193782910832558,0.193258014562899,0.195021094980766,0,1638.27838043733,463.247304749974
"2.5%",1.73979841502163,0.439765429637931,0.752388021925157,0.278463794960587,0.277773591372111,0.279185972058265,0,1741.54430381914,427.274444793813
"2.5%",1.86922648167333,0.377997286501673,0.735668650245007,0.314569365999986,0.313880062560554,0.315288123466754,0,1397.64066411294,395.884398070643
"2.5%",1.86568295290286,0.398593583255869,0.720529361436294,0.194200562177626,0.19368401796233,0.195246848083653,0,1650.29124575017,409.841725979901
"2.5%",2.00612069346,0.333072953839469,0.730512938637328,0.338016077028089,0.335815137153765,0.338842486312836,0,1048.71776755102,312.20357806866
"2.5%",2.31944107216211,0.325599890043427,0.571935481570746,0.358284505771833,0.357663530838844,0.359005894147589,0,1546.40917054634,460.119871220703
"2.5%",2.07141374643753,0.338730728022945,0.677754110575865,0.310510190880963,0.309919926910432,0.311515114260115,0,1283.87751531058,364.224104026631
"2.5%",2.28836450733515,0.308043863663356,0.596031770035602,0.333615098280644,0.332927408618101,0.334408022845989,0,1327.32378132172,417.999953392596
"2.5%",1.48565580585523,0.503022376377601,0.881006011122615,0.210022745319393,0.209418300363548,0.211153797526955,0,1451.38284592626,387.621384491349
"2.5%",2.2219629934322,0.33126042301226,0.627675004775839,0.232543275730742,0.231917616581134,0.233421798486609,0,1499.13492897594,478.401608409528
"2.5%",1.47113380331004,0.471666448567009,0.968029146653187,0.348587400621498,0.347075384512927,0.34925368856357,0,1171.56269831866,328.30572747786
"2.5%",2.89050337439357,0.245135485975088,0.473126178852712,0.296999782745777,0.29632919354708,0.297680834992447,0,1620.59796356301,473.945822212976
"2.5%",1.65386275686755,0.45244443055021,0.781191089414726,0.398672807921965,0.397910148629176,0.39936422178591,0,1480.29098982753,425.221028984208
"2.5%",1.99387714685716,0.358798734114655,0.694601852806015,0.25236855377074,0.251815383117095,0.25355868312144,0,1447.48434949786,390.630928060261
"2.5%",1.83692463124716,0.401314203327462,0.739448449025962,0.293141785717086,0.292299806887612,0.29382544281426,0,1404.60870667903,408.225872476696
"2.5%",1.68934311255228,0.424873522347601,0.796053688961876,0.204787974543284,0.20415593014815,0.20558266194763,0,1369.11314227097,388.591752763926
"2.5%",2.50173565198385,0.280915833733169,0.57333578657297,0.289909294524787,0.28918590259991,0.290709200088363,0,1336.10759487437,416.22347637658
"2.5%",2.15514783333882,0.342174463265158,0.61612073194048,0.276880657529944,0.27626538816033,0.277719361456113,0,1613.45312768347,429.219171617791
"2.5%",2.16881877631486,0.332091534191178,0.633234103054925,0.436427164914848,0.435712809501602,0.437200738922694,0,1210.10228410004,390.866460437902
"2.5%",1.78039595293327,0.415824267537319,0.750311551332606,0.208255604552421,0.207611938912627,0.209482153903523,0,1422.62334711278,400.354425427088
"2.5%",1.57277115552716,0.454565693654081,0.865359784339589,0.377279228892647,0.376674634857114,0.378199203925232,0,1387.28715407472,374.505268547381
"2.5%",1.67386398106016,0.462564783415537,0.761841308943189,0.217314778974658,0.216742565970345,0.218001681088691,0,1764.65494174528,476.725782690128
"2.5%",1.55529449319252,0.455289829382102,0.889583492158622,0.322590594018442,0.321934831380177,0.323759866697661,0,1099.51586032333,316.597565659381
"2.5%",1.55734282677398,0.459398073104472,0.897290768077607,0.30643327013728,0.305774438029793,0.307530875743148,0,1190.9423785027,341.863848794419
"2.5%",1.80735615972373,0.412730687596388,0.753378681990124,0.252958568948215,0.252400893055863,0.254198993001942,0,1461.78085806518,398.05449545463
"2.5%",2.27086336519861,0.332386187050365,0.571866853484301,0.198974157607637,0.198439588906073,0.199618820786525,0,2080.86383198946,618.415682457188
"2.5%",1.53262542499646,0.469773138551646,0.887154813805992,0.315998123640581,0.315354710938391,0.316752877851871,0,1449.3233211623,433.598266749486
"2.5%",1.67032382816807,0.430435116024513,0.806702700728555,0.207874776828635,0.207230098508217,0.208863415893428,0,1419.67227958667,426.367821960055
"2.5%",2.02344991758128,0.351866291344181,0.646486701883942,0.172894875366576,0.17237702383686,0.173556784146155,0,1647.24319724073,498.991740567002
"2.5%",2.31626499467885,0.320227210799729,0.574501183971146,0.216235323114224,0.215641663597307,0.216847275059918,0,1729.56807823169,495.605901882991
"2.5%",2.30075207836015,0.30378053594207,0.616104279084406,0.332109360031046,0.331392351196636,0.33289681350865,0,1289.35466303148,382.270252049913
"2.5%",2.08607283307461,0.360663078202888,0.640962194778619,0.234599715456687,0.234017981879909,0.23528276188049,0,1580.20400466296,451.859091889224
"2.5%",1.85472395113881,0.397154991020962,0.710043965345768,0.172149106898211,0.171650125865701,0.172919283750194,0,1614.86768076806,462.331863223645
"2.5%",1.92520569097426,0.373279566636511,0.708813705054403,0.185193648744738,0.184614453920866,0.187551091430691,0,1420.65242144812,395.938325588422
"2.5%",1.7783515880169,0.407691031875272,0.755922050252894,0.334640015660364,0.333953140785243,0.335443694452461,0,1350.5093453063,367.027918360172
"2.5%",1.5690168337337,0.452177871585092,0.895270434593757,0.247863722172507,0.247120975040919,0.249429576061378,0,1329.27010031083,342.746817379191
"2.5%",2.23733548529937,0.316246102096318,0.597604454707442,0.317664819710505,0.31703611233323,0.318423194937818,0,1585.84494241221,542.579345171333
"2.5%",1.94295303472907,0.373540892719216,0.722142626652672,0.22680443552035,0.226189234716395,0.227811375989677,0,1364.15886159965,379.591961138817
"2.5%",2.45986104687881,0.288970424231438,0.60156084830168,0.327386486186327,0.32673267577871,0.328403340479792,0,1193.61999247353,435.132488088034
"2.5%",2.36459146045069,0.305650418631394,0.56743990318517,0.274519162311413,0.273930358214497,0.275416889238738,0,1502.70728593561,428.769956152423
"2.5%",2.21836674929773,0.323086666831671,0.625010358431246,0.33413057322934,0.333516783496552,0.33499394728032,0,1346.97235687169,392.436942607774
"2.5%",1.50954626339481,0.504316610304072,0.894097303307628,0.235349567170251,0.234759775183757,0.236085332142105,0,1595.31720937114,459.506805541295
"2.5%",1.47749153147435,0.506618317197963,0.880869836507457,0.315392784832882,0.314651196934376,0.316187311954883,0,1424.01241481199,409.083971101432
"2.5%",1.61210326313095,0.458209814030243,0.869428020325635,0.227574733107411,0.226859876951354,0.228670202642705,0,1367.10082379978,344.589029576212
"2.5%",1.71777281902657,0.402120530795496,0.796169426225052,0.380738443030345,0.379667353045124,0.381764127206173,0,991.145016493124,296.764970368707
"2.5%",1.9562135267923,0.326240540553742,0.763098335875937,0.286550760905042,0.285030335240776,0.289428582893701,0,1000.58086371139,293.248722400827
"2.5%",1.56779522523223,0.448641599463295,0.871351657903865,0.270985360149256,0.27041169230467,0.272231461345259,0,1360.07179122272,369.231200463005
"2.5%",1.86074197264017,0.407687463791152,0.742082182914372,0.232915177489703,0.23230125367501,0.233663766238872,0,1509.32139073047,393.25805046806
"2.5%",2.59932221149319,0.264268235486579,0.554772958675,0.32700470648781,0.326224631168562,0.327910616786579,0,1192.27018792376,371.946385100527
"2.5%",2.64577249912232,0.291608247609376,0.488486916369188,0.137802021294766,0.137273133820212,0.138250546448937,0,2066.60635063635,598.330930670357
"2.5%",2.52048537911329,0.280455741450835,0.567246239148871,0.286758686198406,0.285741778367901,0.287476406610594,0,1276.26478815509,415.910802962079
