"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",2.00393205517767,0.236258659773834,1.02490737443181,0.291551768334252,0.290131478017844,0.293036982705351,0.0115755862179701,312.731927640815,126.864650187111
"2.5%",1.95641543190357,0.279989112511063,0.910742014361558,0.0977020938053019,0.096723748238956,0.0987696520852253,0.000939198669288821,497.976479890729,151.72879485074
"2.5%",2.49242784412621,0.148387021866699,1.01992080869479,0.240659501504127,0.236339317926719,0.242166085917419,0.0719399455472782,170.365235866367,56.062506891739
"2.5%",1.78700062959781,0.290838034107877,1.15058317173366,0.295067749811703,0.293573492585279,0.296437918328268,0.00745561546588291,323.303196261138,88.9853454763935
"2.5%",2.0773417914585,0.224678433740053,0.986534812840631,0.18496740248467,0.18300345313851,0.186078394209417,0.00838203979563734,306.391081563314,91.5316611288473
"2.5%",1.34010750181681,0.391570852614185,1.39519984065565,0.0908189012293783,0.0897424764524424,0.0916896732963309,0.0568394365444165,385.258761506929,115.821469948393
"2.5%",1.44961777063708,0.35036718769208,1.34616034482643,0.190382455797543,0.18920735818859,0.191631361824189,0.0376295170997794,333.530413840717,100.369323452914
"2.5%",2.88501583520493,0.135950583200537,0.80710104302404,0.384173714123162,0.380914378247247,0.385553331893264,0.0390259567387701,213.572614866543,76.6051689925138
"2.5%",1.10278784965694,0.372494387632051,2.32366950449221,0.363460959910069,0.359931923728071,0.36487510896009,0.618050126616812,159.5811552792,51.0583015763744
"2.5%",1.85393883861666,0.252183947737489,1.11906577831457,0.181067722245906,0.179288593816926,0.182151874863943,0.0150603635990489,282.702436593727,74.276111763898
"2.5%",1.00723867398914,0.432457126996138,2.32613074262546,0.254343454082232,0.249575687359076,0.255874405378974,0.963609972485171,185.938164591624,57.4140433710377
"2.5%",1.32743725881658,0.372040662793025,1.57973782366796,0.286436856328042,0.283912644303247,0.287686384776408,0.0956807272273765,261.630054097852,72.0619080681811
"2.5%",1.82954279397243,0.217514297744369,1.31319670569232,0.250047962070191,0.246779128170301,0.251578181843829,0.0609644893804906,177.586544536786,53.1379610067583
"2.5%",2.25291043274634,0.197436474008865,0.982724089502426,0.393908323033104,0.392068040287246,0.395350638977951,0.0140459572303122,265.343854282293,86.2927262688478
"2.5%",1.93467503906811,0.25039239707174,1.10291496320296,0.396817008863462,0.394935908635903,0.398265479552601,0.00757322961450635,288.675304512039,74.1727335771498
"2.5%",1.72167539785776,0.29176811200534,1.1535888104381,1.36011739315045e-06,6.3944457093333e-08,1.16812302484386e-05,0.011413243238052,317.619287640779,79.1918669374728
"2.5%",1.72215139271323,0.311004170594544,1.04941610768039,0.0963331642332939,0.0955476589391293,0.0975513376950775,0.00280216646090059,440.777302197902,109.115262963449
"2.5%",1.27743688321424,0.386069993433702,1.5150403086895,0.188172634987663,0.186744190402939,0.1893473534049,0.126786054227734,310.98260045084,77.1558568584537
"2.5%",3.37368042994161,0.133797306162911,0.596920793781928,0.0885050355293794,0.0876808050711275,0.0896289127781601,0.00944047111674484,380.250233384176,124.638600145739
"2.5%",2.07676194546654,0.225641199797114,0.96791326357452,0.396400384754126,0.394595441232665,0.397928444806171,0.00869898334869523,285.25625075882,71.6515802640269
"2.5%",2.03724755219829,0.233276029295822,1.07010768740622,0.288239026988811,0.285467077616802,0.289480101796399,0.0109187908138826,277.233596539376,85.1163448668492
"2.5%",1.04371978136198,0.460915526407172,1.95369164241602,0.283284335995781,0.280679797602953,0.284607488898632,0.758167191724116,252.968905725571,74.0491958858607
"2.5%",2.09836034176295,0.229984710079419,0.960399022339536,0.0875341855190388,0.0863859826484525,0.0883859505181139,0.00489813262515604,345.790916219101,80.0238215849512
"2.5%",1.39616684755684,0.359076227556115,1.37966682210316,0.0791620906381609,0.0783756841202214,0.0803834779950068,0.0589464609600299,306.579124540963,74.7837479000814
"2.5%",0.811864063450615,0.492174660936354,3.02680289024431,0.224572200554168,0.221204254352453,0.22606615065969,0.131384466378598,157.542996307862,52.2864514831384
"2.5%",2.19105822209646,0.222876759272519,0.935828237521304,0.295075662895063,0.29281287701859,0.296352265652246,0.00459329332131375,333.73305044678,100.15966973255
"2.5%",2.77317838272773,0.154574287172726,0.778198495218174,0.286949931061113,0.285697917723423,0.289189405368576,0.0190382113943339,268.893956178281,92.4916660796392
"2.5%",2.1017109843766,0.167274413583714,1.2488797728612,0.477027398913977,0.475234700267706,0.479606468544322,0.0769406224859763,140.319338142672,50.3409159912346
"2.5%",1.99916082329303,0.249272576396282,0.994347936532854,0.397901865971201,0.396011722507787,0.399321272478664,0.00575568786842462,324.854467550569,101.821466238569
"2.5%",2.69098166227091,0.150238561371633,0.873469528073717,0.149321346191141,0.147619652214689,0.150861754633352,0.0358659188990069,214.279698083933,71.7421864096729
"2.5%",2.03428810033992,0.227469235075007,0.953431276354139,0.0808953075671839,0.0796997367373605,0.0818570199439639,0.0104915253916487,325.320522985357,101.457858379151
"2.5%",1.46959087397023,0.327510311223824,1.35486152716753,0.294032316168232,0.292520114048746,0.29541767825679,0.0405993541483218,306.323040349402,80.0027268058534
"2.5%",1.07606857643914,0.479161773133936,2.11597764056048,0.396392631321267,0.394490705303053,0.397807820577665,0.580613299872688,293.886519781032,95.6251769812206
"2.5%",2.64769238936958,0.141258586798295,0.876669636244991,0.491654326721961,0.489872283409963,0.493439851055252,0.0511002256928095,192.87364862182,62.9697301056097
"2.5%",2.64718187500584,0.153321930113195,0.92056886052457,0.38604419443859,0.383645508406309,0.38737195610759,0.0210280601551236,219.933789808038,74.4565202919946
"2.5%",1.38327503467836,0.37663762276421,1.33615667275173,0.193003290571297,0.191434097893119,0.19407522654331,0.0484038246134166,351.802642991211,91.8717375887046
"2.5%",2.30640413008973,0.214734917080058,0.919936118026627,0.293657604288793,0.291214090601825,0.294943279991876,0.00485143567741275,329.031544760762,120.030683374052
"2.5%",2.11130751292794,0.210086542550216,1.0171549592861,0.393467940042777,0.391799160414542,0.39502746167814,0.0219015819726429,257.774530744893,82.2244094368728
"2.5%",1.49266262454261,0.326602817127584,1.36817991803094,0.181601082698174,0.180151795837064,0.182781431958513,0.0397157033588265,280.952575473749,69.9041087641552
"2.5%",1.93322523817577,0.257696387217167,0.988191809734045,0.089968111955598,0.0889869965016453,0.0908557623901164,0.00465981718337161,373.677501883546,106.7245719857
"2.5%",1.28888952524772,0.390588197051319,1.51247455212038,0.187496712738839,0.186218625476199,0.18864473409631,0.11850268970783,310.158276213555,78.5450735739077
"2.5%",1.68845700263512,0.262262909881304,1.32347686309319,0.391669664460958,0.389637354421227,0.39310713611139,0.037477159363666,239.263101149718,62.3943542256754
"2.5%",1.84735661990244,0.269454270429614,1.09232054720828,0.29454802002448,0.293073908343223,0.296040802478099,0.0108724480319768,315.296467169515,85.0727758918686
"2.5%",1.47325091257911,0.352818980679523,1.25609071223397,0.193970310993095,0.192402541721113,0.195066243807906,0.0259994109682662,356.494494818503,87.0658630384708
"2.5%",3.08557049868985,0.143428533118567,0.669764645338533,0.187521382007379,0.185995848615412,0.188691659866517,0.0110380474241007,325.070245994158,103.291511846245
"2.5%",1.9129740607883,0.230335488292351,1.15524673789664,0.274741337335726,0.273231824314756,0.276548189405178,0.0285963512603105,223.654356255234,73.1774309074384
"2.5%",2.30053429385408,0.205734830696634,0.838692605871932,1.36011739315045e-06,6.3944457093333e-08,1.16812302484386e-05,0.00665625626865674,322.107008376299,99.7011797364648
"2.5%",1.75411490415274,0.306376956815908,0.967587868643409,0.0966797371210161,0.0955836905233226,0.0975971890020427,0.00282084823942474,457.551583666387,118.557550034655
"2.5%",1.35988536403383,0.37418606967448,1.36401656111216,0.194072092900745,0.192587975061926,0.195155119199249,0.0568472353942533,356.073372385107,81.1447259383734
"2.5%",1.33591474499494,0.376238990027281,1.45898839687731,0.191427005439006,0.189936600061695,0.192560901272996,0.0679764740907332,339.139649166381,88.3983894014135
"2.5%",2.66107724160554,0.196289255297295,0.729850024270803,0.298224819007724,0.296686734197315,0.299695931630501,0.00215966430894787,396.022692798102,124.715848821419
"2.5%",2.62165355159575,0.184735120153455,0.727729110820664,1.36011739315045e-06,6.3944457093333e-08,1.16812302484386e-05,0.00528090045580831,377.690952238482,112.64825144821
