"V1","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",1.18715804514056,0.378322860506323,1.79124547666343,0.279791790511144,0.276625432121841,0.281112278258823,0.303501234698963,235.300539819476,64.3631836314666,1
"2.5%",1.6564153355746,0.260305099175116,1.31993043562951,0.161243390942622,0.159782445922923,0.16237463604492,0.0462942248651277,232.639427006056,78.5542493563935,2
"2.5%",0.754921786971083,0.676157201750591,2.60342281395765,1.36011739315045e-06,6.3944457093333e-08,1.16812302484386e-05,0.00149850170285348,322.545013153514,76.3364864175178,3
"2.5%",0.739834779821948,0.651987046535208,2.83518039476728,0.283612373345112,0.282159880460243,0.285603536495701,0.00314613308136646,255.633483778802,92.2449863879702,4
"2.5%",1.39300415194814,0.315010715012616,1.57975483467453,0.159382034748274,0.157879647321598,0.16087552406633,0.108670101560405,225.560007977473,67.3744042815005,5
"2.5%",0.758839172819018,0.554065003168516,3.14787964499914,0.380746647837072,0.37772715406524,0.382134435809652,0.0205887786800973,202.538279089971,72.015240445864,6
"2.5%",1.01610582111208,0.469236397944899,1.9830950637849,0.0696677757852408,0.0687337811308008,0.0709661932252499,0.90850791490887,277.347740282542,73.0433332770148,7
"2.5%",1.12133219297883,0.406631804581352,2.06030933252376,0.387861037697487,0.385693261649632,0.389244983521816,0.478220351025336,221.705390326359,64.4009647934137,8
"2.5%",0.91280918414676,0.425231364141763,2.99814187885675,0.46489029186326,0.459006510933996,0.467062093232954,0.599403267707035,128.315366584551,47.3831285830187,9
"2.5%",1.07150085177586,0.400561436590428,2.1696454691873,0.378374115620544,0.376559864684719,0.380209999870117,0.676717589369414,190.622562887964,57.6600346992678,10
"2.5%",0.635002594615022,0.672102758738417,3.41066772536733,0.598650011957662,0.596779419255658,0.600119204865778,4.86204807836899e-06,222.111088954307,77.4647947058145,11
"2.5%",1.07712894384661,0.393905427769956,2.13487408091272,0.24849284448531,0.243757814003497,0.250058842018678,0.668778347013809,179.352265917036,52.9024516261203,12
"2.5%",1.01010450747057,0.461195830543984,2.24543553711116,0.272349958488512,0.269172418538899,0.273604974486486,0.944344641639402,219.268760166627,60.8751546783713,13
"2.5%",1.29622753195751,0.38189315507274,1.44454781476186,0.081045084832701,0.0802929365362733,0.0826671175758654,0.114453780330648,311.408891569553,80.9695780108923,14
"2.5%",1.02163350165123,0.502330596601656,1.7885665662372,0.19229204348914,0.191019290037576,0.193468172723,0.853735787496548,354.932832814099,113.375303809135,15
"2.5%",0.602863057557029,0.672626309138026,4.38346553734504,0.351905783833373,0.348894301381543,0.353400466940943,4.42448058168843e-06,150.730835631719,57.0039051599841,16
"2.5%",1.93824751696545,0.183296954127938,1.33545600127691,0.47128094650699,0.465737792733546,0.473202623685632,0.093571356089627,131.120541979973,43.7909577433385,17
"2.5%",0.934360407110204,0.468710503925664,2.63291667767213,0.378709671663358,0.376332078159389,0.380086856274325,0.633533022576569,190.286758256562,52.4689512711989,18
"2.5%",1.22718625466766,0.360686296016066,1.79586909427696,0.160288888809314,0.159259583317592,0.163471655431846,0.258892208216666,225.929288113966,65.1215425382292,19
"2.5%",0.757382228580562,0.66353118689755,2.66896835895411,0.0748207557735533,0.0736032153961033,0.0756317892858344,0.00423933917241603,293.330257490758,74.7580781055294,20
