"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.11121707831721,0.564409927209424,1.38391549691212,0.3557348477098,0.354794776239731,0.356627985248048,0.0479566263112265,695.79695447039,203.811311905267
"2.5%",1.16524605066005,0.52503453797678,1.36618826121695,0.351204737646981,0.35012505250995,0.352055235325108,0.00781702550055474,617.543507156285,158.815066277487
"2.5%",1.44385355906517,0.469236876282534,1.04041409990227,0.146906371729538,0.146170724186916,0.147752317165629,5.43462030933028e-09,763.426505577137,193.576067232147
"2.5%",1.52273265151959,0.415769286471195,1.09976980989937,0.433611769542153,0.43250445493035,0.434597615707494,6.37974313377754e-08,557.38107997678,160.403361388077
"2.5%",1.46813154482941,0.409994166712501,1.13636397634515,0.207789836798855,0.206389116878156,0.208623162220565,2.61661264699953e-06,575.44639554253,149.60805387392
"2.5%",1.01259568267452,0.605947903968105,1.63807047136668,0.302595387495507,0.301515735320659,0.303678565425859,0.811923144562914,571.336266372328,141.124845349245
"2.5%",1.34803372640767,0.443489204030783,1.29868033201324,0.235667101010314,0.233223366737452,0.237472929742832,7.79015837055752e-05,498.932683466185,131.891947568266
"2.5%",1.97673691681222,0.325444181433473,0.8083448569749,0.187423400354889,0.186524452076368,0.1882255446976,4.08117983852208e-13,733.155959135781,200.829355192277
"2.5%",1.86399420312431,0.34163386626472,0.856362299836423,0.268646532372783,0.267849935013167,0.270009058122257,3.59734464439043e-11,661.835043618005,183.851915557914
"2.5%",1.74052636079954,0.370659542455494,0.927551532036369,0.309068927437952,0.308040067471648,0.310004029022847,1.62470925602065e-10,624.856921661329,184.174859669804
"2.5%",1.09703970772486,0.546692475238892,1.51220936956709,0.211330639744612,0.210506760908161,0.212626479497586,0.113084536917236,588.039679369298,155.433021436831
"2.5%",1.50703243122605,0.421754844925104,1.03630757393795,0.231508350938777,0.230507086333801,0.232377777471124,1.35450193283759e-08,748.362939707465,212.403080441827
"2.5%",1.96266699787127,0.308625081314437,0.847150010986083,0.257113186952631,0.255378721032718,0.258261863979428,1.4647771884313e-10,588.401039611623,181.050890706436
"2.5%",1.64233945973175,0.400816669092495,0.909647411523832,0.189758749966102,0.188952888850232,0.190614354392196,2.93649549121255e-11,755.126688868612,200.16510365345
"2.5%",2.14282833496314,0.306962369095923,0.726268879138011,0.27747191151474,0.276632436732386,0.278407245373306,4.44089209850063e-16,844.357839571043,252.171251304649
"2.5%",1.33521218742276,0.422916027859059,1.20730135378348,0.335319748551121,0.334226638648514,0.336805311006006,0.000266821899980396,505.402196302546,134.533424328941
"2.5%",1.68246533206363,0.385468393960016,0.965285358948788,0.315251792149729,0.314413739503019,0.316221300691339,2.07420747244669e-11,723.952098631841,205.341088662527
