"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.18715804514056,0.378322860506323,1.79124547666343,0.279791790511144,0.276625432121841,0.281112278258823,0.303501234698963,235.300539819476,64.3631836314666
"2.5%",1.6564153355746,0.260305099175116,1.31993043562951,0.161243390942622,0.159782445922923,0.16237463604492,0.0462942248651277,232.639427006056,78.5542493563935
"2.5%",0.754921786971083,0.676157201750591,2.60342281395765,1.36011739315045e-06,6.3944457093333e-08,1.16812302484386e-05,0.00149850170285348,322.545013153514,76.3364864175178
"2.5%",0.739834779821948,0.651987046535208,2.83518039476728,0.283612373345112,0.282159880460243,0.285603536495701,0.00314613308136646,255.633483778802,92.2449863879702
"2.5%",1.39300415194814,0.315010715012616,1.57975483467453,0.159382034748274,0.157879647321598,0.16087552406633,0.108670101560405,225.560007977473,67.3744042815005
"2.5%",0.758839172819018,0.554065003168516,3.14787964499914,0.380746647837072,0.37772715406524,0.382134435809652,0.0205887786800973,202.538279089971,72.015240445864
"2.5%",1.01610582111208,0.469236397944899,1.9830950637849,0.0696677757852408,0.0687337811308008,0.0709661932252499,0.90850791490887,277.347740282542,73.0433332770148
"2.5%",1.12133219297883,0.406631804581352,2.06030933252376,0.387861037697487,0.385693261649632,0.389244983521816,0.478220351025336,221.705390326359,64.4009647934137
"2.5%",0.91280918414676,0.425231364141763,2.99814187885675,0.46489029186326,0.459006510933996,0.467062093232954,0.599403267707035,128.315366584551,47.3831285830187
"2.5%",1.07150085177586,0.400561436590428,2.1696454691873,0.378374115620544,0.376559864684719,0.380209999870117,0.676717589369414,190.622562887964,57.6600346992678
"2.5%",0.635002594615022,0.672102758738417,3.41066772536733,0.598650011957662,0.596779419255658,0.600119204865778,4.86204807836899e-06,222.111088954307,77.4647947058145
"2.5%",1.07712894384661,0.393905427769956,2.13487408091272,0.24849284448531,0.243757814003497,0.250058842018678,0.668778347013809,179.352265917036,52.9024516261203
"2.5%",1.01010450747057,0.461195830543984,2.24543553711116,0.272349958488512,0.269172418538899,0.273604974486486,0.944344641639402,219.268760166627,60.8751546783713
"2.5%",1.29622753195751,0.38189315507274,1.44454781476186,0.081045084832701,0.0802929365362733,0.0826671175758654,0.114453780330648,311.408891569553,80.9695780108923
"2.5%",1.02163350165123,0.502330596601656,1.7885665662372,0.19229204348914,0.191019290037576,0.193468172723,0.853735787496548,354.932832814099,113.375303809135
"2.5%",0.602863057557029,0.672626309138026,4.38346553734504,0.351905783833373,0.348894301381543,0.353400466940943,4.42448058168843e-06,150.730835631719,57.0039051599841
"2.5%",1.93824751696545,0.183296954127938,1.33545600127691,0.47128094650699,0.465737792733546,0.473202623685632,0.093571356089627,131.120541979973,43.7909577433385
"2.5%",0.934360407110204,0.468710503925664,2.63291667767213,0.378709671663358,0.376332078159389,0.380086856274325,0.633533022576569,190.286758256562,52.4689512711989
"2.5%",1.22718625466766,0.360686296016066,1.79586909427696,0.160288888809314,0.159259583317592,0.163471655431846,0.258892208216666,225.929288113966,65.1215425382292
"2.5%",0.757382228580562,0.66353118689755,2.66896835895411,0.0748207557735533,0.0736032153961033,0.0756317892858344,0.00423933917241603,293.330257490758,74.7580781055294
"2.5%",0.87676618360253,0.523130445497994,2.56856667217958,0.389264854097178,0.387219881151087,0.390654540522444,0.314736559188092,223.431642904343,61.6563608753052
"2.5%",1.36615547421625,0.341821706519005,1.57944237662638,0.172747403524587,0.171393218218863,0.174447546486398,0.0906129767738828,254.355928480236,73.5793649147221
"2.5%",1.02776416321698,0.424631248515715,2.35218616962328,0.245064756565013,0.243433159695361,0.250073550201408,0.870463400682947,170.760188152732,52.9865886632949
"2.5%",0.925401708449215,0.45683401898309,2.50005778650552,0.379037998629384,0.375337004085334,0.380397510840229,0.596000051108642,190.379927511104,53.4142893163624
"2.5%",0.933948743773754,0.433832531163138,2.72623100471852,0.372690582269416,0.36971222985381,0.374054405621821,0.662535184785937,177.419621747823,56.1020755747943
"2.5%",1.08716276571285,0.390735971529101,2.21800034580666,0.379255328751719,0.375992146696926,0.380612485289287,0.630186602160985,188.202668636083,54.1333699710178
"2.5%",0.854797101413284,0.513145142569249,2.59574157422951,0.145125194076806,0.14394577509165,0.146914688951373,0.2121224140394,205.50719320506,59.9082801870064
"2.5%",1.1681284522838,0.327456700402161,2.39865346540228,0.585590304925627,0.583946871083037,0.587445334528419,0.481161593582409,122.966466735925,41.1820599437709
"2.5%",0.82255429365086,0.497855600344989,3.1744157226044,0.471879794030885,0.468310796920136,0.474559290612598,0.184807504162057,137.235098748223,49.9055145115888
"2.5%",0.846730684547402,0.517313352985119,2.91938404085553,0.375488368507233,0.373114469953712,0.377128155408116,0.208542687707233,185.264706752256,56.123114568371
"2.5%",1.02515987256301,0.482613883276304,1.88398905563606,0.0799351773550215,0.0787120075401022,0.0808675406678376,0.844024327514462,338.860303496491,115.135128447684
"2.5%",1.11460628373614,0.320713976705215,2.34396257255485,0.466286305406465,0.461633162320356,0.469080332972085,0.634045170489669,124.382438083612,41.1713315157026
"2.5%",1.6493725500099,0.255656933760674,1.27002649727257,0.0458443227337352,0.0451568978777076,0.0485409009653915,0.0808589276596057,227.28165058399,60.4894680997442
"2.5%",1.3002757092672,0.402473786079999,1.44811646515475,0.0901921667311924,0.0892661403673954,0.0913611321400725,0.0824840098688742,376.503377670094,115.08080854762
"2.5%",1.33808482869534,0.318546948176646,1.6278878901337,0.271224857125059,0.267033875878236,0.272615060119505,0.135207512097415,214.866103864671,60.7103062097826
"2.5%",1.60090600197022,0.190524942782018,1.9640625131693,0.798976149642476,0.79765430975771,0.800214584688961,0.244742491820143,96.7423244757761,33.7103510272938
"2.5%",1.10718326534149,0.375742286212122,2.1308730963606,0.251840784303779,0.250417744117734,0.254586001855898,0.580951853682604,177.994494656005,52.9713801408448
"2.5%",0.889910651950449,0.357361069060542,3.48649395732716,0.566728564989012,0.564923321579192,0.568813672538135,0.564312901912552,88.8664486362368,35.5248263359977
"2.5%",0.920826167206257,0.477815291951033,2.6473630794922,0.107515502686373,0.105836596477297,0.113527809377481,0.581292006189099,164.333196705212,52.1047746602545
"2.5%",1.56102518017281,0.268622470654959,1.57739631897516,0.373251113341712,0.371791878863345,0.375089020887981,0.093605359158194,174.030029530959,55.2888935882207
"2.5%",1.49689449979551,0.275828960798663,1.76698589194772,0.354600305507654,0.351732008080536,0.356178988783019,0.124696514179835,150.516277219349,50.4349404906787
"2.5%",0.985211319926851,0.472714113810959,2.23167420446463,0.281874986897558,0.279016233946908,0.283210967651211,0.911317521795767,245.728651515404,70.9470153085815
"2.5%",1.00356007250202,0.36330829913386,2.41314060694509,0.480963215494525,0.479221858699027,0.483505736641406,0.984653536129027,148.335191629509,48.2109149226727
"2.5%",1.06428385650325,0.424996511657898,2.14836546678515,0.274586121471646,0.271160408978886,0.275856702969366,0.675108061406902,221.940371802562,63.1767969658793
"2.5%",0.84887398234362,0.454116876026083,2.94775205288873,0.593775836668056,0.59192317271965,0.595240080207955,0.27339781299636,160.025462958457,52.9026129963472
"2.5%",0.739709467848069,0.650739760659877,2.70259455987375,0.0759397237522749,0.0748656892210924,0.0767573048902113,0.00188999981251259,298.250405961418,83.1611816591999
