"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.98451557205941,0.389420361182869,0.662673653067565,0.23802196412146,0.237427072553454,0.238675119503949,0,1801.91217323487,506.002603533219
"2.5%",1.64008345483433,0.463727426891742,0.822958168963673,0.236023502347086,0.235443243332975,0.236733459521854,0,1620.71473916041,413.365604049492
"2.5%",2.2554290101407,0.330810910972069,0.607282102891308,0.234450038501236,0.233863293791447,0.235200239700381,0,1579.74140019388,452.133423677999
"2.5%",1.51934217291661,0.473830134230065,0.864169456953315,0.147548938942257,0.147142894513448,0.14846520989949,0,1523.8451668107,386.641692344219
"2.5%",1.92415204620257,0.367078843613698,0.731076502927945,0.374110607683719,0.373415500033074,0.374848864119345,0,1248.39825663446,355.367197574789
"2.5%",2.02469686944339,0.358633042698356,0.661393876199485,0.394930125819019,0.39418624003426,0.395654529603605,0,1251.33899500741,362.214174875118
"2.5%",1.25273861818053,0.602758948190692,1.06802422820789,0.254362609498818,0.253796372042109,0.255388110133583,0,1497.41505035078,357.422261031184
"2.5%",1.77900213405112,0.409356108444432,0.778266513863115,0.228563506050703,0.227965565560619,0.229495173234192,0,1391.87666098497,357.624080151339
"2.5%",1.65898799572172,0.425171907259009,0.82028242416811,0.264065780171268,0.263482915592409,0.265789083559061,0,1229.38512536574,341.307148249384
"2.5%",1.89549018836397,0.376272520987291,0.743971668906824,0.309516018820818,0.308896867744893,0.310396638915107,0,1257.78608140148,375.737445507789
"2.5%",1.7306809883401,0.449649957377148,0.74481082643836,0.133039475733566,0.132570607585022,0.133628637443243,0,1728.62516755115,504.847327672517
"2.5%",1.47891559474279,0.50411786402843,0.89873581981703,0.294824175895045,0.294047902219466,0.295472808565654,0,1454.36827372189,382.088132589362
"2.5%",1.81516838215746,0.407091602082685,0.758198051442568,0.315054551945763,0.314339616887826,0.31578191667005,0,1405.98119762427,375.306185318843
"2.5%",1.35877263012688,0.524755853052062,0.998519472232256,0.26173620860436,0.261092548590987,0.262832666474894,0,1200.17036290403,313.232380247301
"2.5%",1.67215858073725,0.435756123632172,0.806862037077433,0.29216805123024,0.291464975901493,0.292878457933357,0,1367.9700443882,370.401526516891
"2.5%",2.59256793425956,0.283796182174442,0.52731962358052,0.29524490179041,0.294469707376894,0.295911433678956,0,1506.25614612439,506.810171514944
"2.5%",1.73362265330119,0.396640899409373,0.822283034663722,0.349591563618239,0.348266973409746,0.350175689818572,0,1196.48618434318,345.328738030288
"2.5%",1.96588320579929,0.366452894980243,0.690434076388693,0.184626477849195,0.184077389667645,0.186503625141241,0,1415.78869244549,385.533704903417
"2.5%",1.84578650076729,0.405669252824844,0.708252440993331,0.277734208704383,0.277098355526346,0.278542795853461,0,1668.41614443425,470.401565209603
"2.5%",1.66793512361357,0.413234357655101,0.827620803095321,0.351868138532994,0.350594460917759,0.352468371398029,0,1246.60644211665,360.87721314315
"2.5%",1.63317731507852,0.449318013761774,0.831276634556848,0.251872777639953,0.251298279745906,0.253105605025274,0,1425.9130344292,411.472833276833
"2.5%",2.60120532175193,0.27207914553057,0.521713639413061,0.213081619344443,0.212499644999034,0.213785775181747,0,1587.68464015801,493.215365827137
"2.5%",1.92684176868033,0.393102107168691,0.687840605535121,0.257212546253731,0.256658019173538,0.25809633205052,0,1676.72769576635,431.368639543483
"2.5%",2.79732801797198,0.252427114633457,0.503049586845169,0.219578257902199,0.218492019556149,0.221185757929068,0,1273.17647361891,383.444285176367
"2.5%",2.37045121416685,0.305524587892544,0.561846548892138,0.172919029004051,0.172453856578715,0.173680191027198,0,1654.30369071189,503.477931211856
"2.5%",2.15185783639133,0.336441492715951,0.648348634332279,0.252491771832015,0.251884307080149,0.253840455625547,0,1454.79535765495,420.580019010432
"2.5%",2.0308839882693,0.365602380116131,0.674679673388457,0.254977128943778,0.254422340896222,0.255964799888482,0,1547.72565318852,437.570952335386
"2.5%",2.0676261930598,0.353648041338886,0.662302441996997,0.294975099201199,0.294295180949911,0.295675283924931,0,1473.7197751471,407.654562657023
"2.5%",1.7958599593882,0.426603097721979,0.738440016422186,0.236464814496022,0.235853973623248,0.237103540501523,0,1670.51774048921,459.254446242982
"2.5%",1.33970085466465,0.562944046311304,0.977688026213747,0.276478940037885,0.275856081541983,0.277363939816516,0,1555.08646560606,389.631740490982
"2.5%",2.19911170533058,0.340558379388108,0.613597805377062,0.273788746930917,0.273174660995117,0.274663253770924,0,1466.22735648535,399.032106709907
"2.5%",1.46195754309538,0.48692573894738,0.940228586029895,0.313216947759657,0.312588784963466,0.314053941217241,0,1344.58744918774,383.290574554428
"2.5%",4.13617687819877,0.16830884520081,0.351842977646035,0.2743836846693,0.273731241695483,0.275170341512196,0,1553.61954626427,556.311281036903
"2.5%",2.57371921215408,0.276402769977646,0.541859939300795,0.228964280302763,0.228288458514739,0.229962829188059,0,1426.55010587309,445.708742272778
"2.5%",2.06799791975605,0.357412370966142,0.636777775761204,0.21416546301423,0.213591059113083,0.214874412347416,0,1611.43015495404,446.881660334811
"2.5%",1.77671457166375,0.40003451083427,0.75523976533705,0.356055383164121,0.35516413767952,0.356680089016953,0,1391.85529647815,413.908515933352
"2.5%",1.99459611951211,0.379541026031976,0.678748161247744,0.210771461457097,0.210138175923902,0.211700915220039,0,1487.57577837924,438.767398465634
"2.5%",1.79053270324907,0.419206736498159,0.750252134081361,0.296854022042435,0.296138220468184,0.29751996606677,0,1566.83149655498,484.97533247263
"2.5%",1.82608599023927,0.404276277383818,0.747044275427122,0.230710210474421,0.230133147907291,0.231788482956998,0,1444.57483126553,426.268271355422
"2.5%",1.88826122233857,0.366446662970103,0.755140521316559,0.390463767942203,0.389743913351026,0.391822962532036,0,1113.410754978,329.523577282819
"2.5%",1.88955395173121,0.376574345802317,0.731932468921436,0.266296668618948,0.265682034503628,0.268014742840654,0,1276.91168361401,376.616610956509
"2.5%",2.21709739694813,0.315076265071476,0.623953713699133,0.312905649840073,0.312278955856993,0.313671136360823,0,1352.98868455475,415.208400189042
"2.5%",2.14977363810679,0.334315943381861,0.630832767451855,0.269225115816679,0.268530501917739,0.270072749232599,0,1334.02590167843,369.424971358437
"2.5%",2.10027967635248,0.345965642290853,0.647086662280375,0.233679640121465,0.233079277408145,0.234397005736727,0,1538.71311695413,432.958038442043
"2.5%",2.62927464836019,0.278717774624233,0.525809771912948,0.295084138936117,0.294249165957485,0.295741309643974,0,1505.15400256947,502.602889750767
"2.5%",1.81219891675097,0.406007383760077,0.756569847267571,0.291407478634874,0.290570924231749,0.292117734151667,0,1354.89731054891,367.064870161456
"2.5%",1.86016902309429,0.390215699615402,0.734722004768519,0.253814674059872,0.253235882109855,0.254667733763339,0,1502.22387090388,442.423328363268
"2.5%",1.83233399129839,0.40096256071542,0.743096730273676,0.290907571120134,0.29006816143453,0.291560276520288,0,1340.30372199654,369.511662904136
"2.5%",2.44888191387398,0.303656561199797,0.54821635630667,0.29791278449798,0.297244057787494,0.298596460013531,0,1684.82000018597,511.374355157319
"2.5%",1.86602046599501,0.38315160072583,0.719525537522443,0.335564004131638,0.334899129947457,0.336355515169649,0,1389.71518156943,384.824757127255
"2.5%",2.39192753178578,0.295345803274631,0.577703203572945,0.316509035987699,0.315894210029868,0.317291538448644,0,1503.49683088436,471.785604538138
"2.5%",2.06801383740077,0.344413652713096,0.675852581782218,0.107679917235564,0.107290208539077,0.108529170874261,0,1628.07179262041,454.566360025403
"2.5%",1.55268640147601,0.476251131085201,0.865268840993813,0.316748640727692,0.316088553927177,0.317475845195178,0,1490.31033469379,412.06931898559
