"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",0.867801679346027,0.697621232001358,1.85508164423668,0.341597978277733,0.340660003116396,0.343103315974639,0.00236510790577715,526.741264484814,153.585446832016
"2.5%",0.816064140454316,0.80011534095996,1.99930019816941,0.264442020637027,0.262986499588887,0.265365370506223,1.59792056031449e-07,632.725953370495,184.760432734467
"2.5%",1.0463809968062,0.625961029454207,1.54964071049946,0.311574636391355,0.310663930336207,0.312526270093828,0.351647548015093,655.002743778614,195.07108970825
"2.5%",1.16988011466213,0.540394713427748,1.4097574659517,0.430770057860887,0.429450879691989,0.431757352614446,0.00955048633002908,524.982154020048,156.195244576598
"2.5%",0.764361232389697,0.793576364653582,2.13534288293586,0.390097818285544,0.389074488186312,0.391219005877474,1.08695275002901e-11,555.08512283806,164.50533658874
"2.5%",1.18049336088579,0.513633852330872,1.33506802066013,0.341738673927789,0.340700034762395,0.343276877019748,0.00762434818916291,524.820785518572,138.380311709731
"2.5%",0.985509748992545,0.64226694852624,1.65364068136962,0.390496621752826,0.389504543223822,0.391587629472738,0.765672947296515,557.728389095788,150.022882309012
"2.5%",0.875544369845573,0.655558198695606,2.00187411982211,0.305274850666483,0.302495617909072,0.309924223574413,0.0133750225396594,404.163917323598,129.30869294325
"2.5%",0.939133322131169,0.633062722788189,1.84639931420648,0.280337823611933,0.279176826884921,0.282181888938974,0.247998444426451,475.377075799686,141.310165491397
"2.5%",1.10869231249497,0.516464191556557,1.67702485073448,0.197487597293876,0.194470516578178,0.20015401841782,0.139066676937339,423.847939390309,121.92972781367
"2.5%",0.745791866627659,0.824717806182565,2.2234929236856,0.219144932550382,0.218051419551601,0.220278109571389,9.54791801177635e-14,631.79931821938,168.291881504328
"2.5%",0.720742492891484,0.878182587072699,2.28835736342781,0.3025612786936,0.301599797898328,0.303705997894594,0,572.655377488063,159.524689138305
"2.5%",0.966708330898376,0.646290017124828,1.73181944884419,0.213556846188362,0.212440755157103,0.214651949687913,0.494875236824202,602.49228397922,157.802954119081
"2.5%",1.03219103898237,0.547571241212867,1.77622221804562,0.262303008933274,0.260504497295,0.265956870545162,0.620974599595553,429.282813318201,122.969134751618
"2.5%",1.23157152772842,0.473792149037608,1.40838472682761,0.272563178409617,0.270583819129065,0.275647250810696,0.0032990179350163,458.670556791177,147.870744544809
"2.5%",1.07442834252912,0.492082865983669,1.61872219284432,0.446493595042219,0.444846304746878,0.448406486006874,0.32095261787081,362.049733194046,109.354666248921
"2.5%",0.961747450139537,0.614269268983124,1.76923952200954,0.416848206875713,0.415537954725485,0.418152141945174,0.489122821732916,432.124160524235,120.703915492932
"2.5%",1.52365855737462,0.387351024637676,1.13924055601289,0.468764023973031,0.467371901319848,0.469753464701393,2.61535178025518e-06,467.466120401287,148.111736855451
"2.5%",1.18179883763803,0.516672429598716,1.44410389373625,0.247218316921086,0.246178307927363,0.248937109644399,0.00913797087391677,528.115257114683,148.903053202804
