"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",2.40412606223935,0.273898921196469,0.628554183871038,0.108251149943173,0.107359100963366,0.108835238223451,2.22044604925031e-16,847.847448280927,271.787693237457
"2.5%",1.93214673556167,0.32306913799002,0.78935472996597,0.355899472332818,0.354973195812775,0.35683729823693,7.81263942428723e-12,705.606809312108,200.576824656767
"2.5%",2.9244469411689,0.222695659683169,0.512780837143588,0.152029590198137,0.151196892108578,0.152693478708663,2.59792187762287e-14,869.479048625535,269.58867733158
"2.5%",2.53275144237347,0.225644483054938,0.668824052302315,0.222308121234456,0.221527744198566,0.223615573348557,3.79524411897592e-10,672.226657849074,245.37258226384
"2.5%",2.57029900843132,0.233814097993433,0.65994969231704,0.30271260709613,0.301519425203835,0.304564631531233,1.10924602836349e-11,590.722854055742,182.997280564104
"2.5%",1.75972770394646,0.397517880398608,0.800816012641863,0.319737882925821,0.318776378845473,0.320590372315241,0,1022.09787046474,378.579817728797
"2.5%",2.60126524018826,0.228978554282364,0.602858138344987,0.352974896188445,0.352049758125375,0.353950802697198,2.8993252243481e-11,663.520798121303,215.824811140805
"2.5%",1.42273555962264,0.447855417725398,1.09451911279719,0.182555929497971,0.181717771798993,0.183516895191727,3.10064077968519e-07,681.429558135064,181.169538785811
"2.5%",2.13382982924285,0.311156299218105,0.703526507501023,0.358919733229402,0.358030230312074,0.359991428513942,1.33226762955019e-15,836.462037267211,254.41350455315
"2.5%",2.15354394028947,0.285699667714533,0.75075057329725,0.230880395434287,0.229774381189956,0.231775788523901,5.16164888608728e-12,752.07921735785,235.55180020822
"2.5%",1.88909093618986,0.307874395956496,0.913099849552556,0.422478599945557,0.421054663342297,0.424396404144455,2.54453500492247e-08,467.894586769162,144.611476032121
"2.5%",1.63015512822032,0.378258439748192,0.94954782853414,0.27205734943645,0.271226132085264,0.273017546932852,3.62452734492535e-10,703.761504825632,176.948465339606
"2.5%",2.21936138437913,0.271347084997271,0.792786334180324,0.252350791597312,0.25040526814576,0.25347180535967,4.68337812975506e-10,563.815310536477,173.485482065586
"2.5%",1.98302746923185,0.295222869212761,0.879945044563275,0.382109046619031,0.38108434584723,0.383304148560844,2.986523917059e-09,497.051930917432,149.518110549941
"2.5%",2.23971969907516,0.253273633734406,0.748406276250004,0.174705526538386,0.173420338601722,0.175964483105371,2.11413331285826e-09,649.240182065175,192.28743355627
"2.5%",2.35829391578405,0.237426960988471,0.719038063146956,0.430659557567168,0.42945386330526,0.431716214844589,1.32274968756008e-09,534.932901126169,160.756059648919
"2.5%",1.52694675342749,0.412413951605784,1.01712462138648,0.436878223733768,0.43578119676542,0.43787003532162,1.0640851533239e-08,631.033272070959,217.606126541357
"2.5%",1.89122748536327,0.345420117382526,0.856845142978737,0.312609650742709,0.311710290490894,0.313576981915121,1.15241149956091e-12,676.886219208312,196.224908675882
"2.5%",1.9295485830447,0.328831829529411,0.814538587716985,0.271259150300137,0.270221510062105,0.27219904587792,3.68194363886687e-12,701.288785655304,196.202316802768
"2.5%",1.5558587970619,0.426374939406355,0.985608294000964,0.316299893469765,0.315391753551316,0.317225362214699,2.52720511184634e-10,746.302372513131,202.877064199641
"2.5%",1.62558655134358,0.413971276363923,0.902724031938029,0.193502590855045,0.19253299918608,0.194264242391731,2.46136444559397e-12,818.019559878617,238.901840058107
"2.5%",1.64350823395505,0.407171477810101,0.892620736968105,0.0709154910693628,0.0704898419063295,0.071687837166008,2.02815542138524e-12,903.979763281995,240.469964430022
"2.5%",1.32047891051208,0.505442453661661,1.12650327933937,0.237393499489541,0.236465293454389,0.238271480969442,4.64927504939538e-07,895.446591422886,241.43694626405
"2.5%",2.96039312887428,0.217445945542252,0.519448747857164,0.152325658165786,0.151554282802699,0.153018740382993,1.19904086659517e-14,869.902183968733,249.075971586263
"2.5%",1.43945038942954,0.4289398222154,1.03454356199483,0.353275649971854,0.352223146028112,0.35419123831051,3.80235349428659e-07,650.852848112147,173.626778913718
"2.5%",2.17500751260022,0.312246104906766,0.686798779201913,0.194801501867331,0.193929098301495,0.195554061631792,0,862.147186759357,262.732470422384
"2.5%",1.765478847361,0.393527824826588,0.806089766610634,0.156766087874549,0.155989029585339,0.157558132956613,1.77635683940025e-15,966.503946744624,228.264211126254
"2.5%",1.5370597155492,0.392224584314281,1.06564562212333,0.391440402456319,0.390389341703141,0.392400730436443,1.23794187345538e-07,566.726604506647,166.380184148669
