"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.58243457319391,0.366281887269881,1.07250919422732,0.298889548909136,0.29797545613135,0.300575453939708,1.22100975108452e-07,553.768422586511,161.952805719645
"2.5%",1.24009201184695,0.530904581935108,1.23386853512434,0.275080936833895,0.274097213702765,0.27598860198081,8.96135653700725e-05,761.313639372953,184.658379139962
"2.5%",1.17848870649514,0.537695117927102,1.35843803029318,0.303702466437258,0.302216528912215,0.304688062605749,0.00489118727244753,585.751525567031,151.120733190274
"2.5%",1.56511804948981,0.395033489560432,1.01630247452879,0.348855292512595,0.347951832802707,0.350321662571176,3.0089696068103e-08,578.93853836053,158.972227759385
"2.5%",1.20595563528714,0.551864491810989,1.25554311625149,0.315406390061219,0.314494165203432,0.316288750814578,0.000454925069926837,722.758296236336,191.465856723878
"2.5%",1.16775925893746,0.48868682780685,1.47927872106804,0.284841991246696,0.283693697282767,0.286231920604449,0.0245818649492415,488.317393527068,136.366462608856
"2.5%",1.79856297941332,0.349349732927264,0.86218888512547,0.270872997058198,0.270076184574091,0.272072888942701,2.8220314973737e-11,686.94017393127,176.077865161855
"2.5%",1.48663216151556,0.415638956423845,1.14570935481403,0.251980791481643,0.25009676575741,0.253052165078262,5.28256011822492e-07,556.927641038936,158.596996936923
"2.5%",0.953120333077645,0.684361522943562,1.65826255520767,0.315473232043743,0.314639588668704,0.316451753240592,0.268031573824633,716.632959024327,201.974342914258
"2.5%",1.21506695688899,0.511633732895206,1.31177031213322,0.476437056437296,0.475469456597007,0.477471960725911,0.00157336930676655,560.235997151445,166.098401455147
"2.5%",2.41801006295454,0.257893408792833,0.689176025118101,0.262113758007458,0.260708018171891,0.26305036462928,2.3108182034548e-11,621.594294580113,192.799592686759
"2.5%",1.5174861965981,0.431944307868968,1.01718278536948,0.311336453046139,0.310317855217403,0.312691044541318,4.92125851181413e-09,658.375394895262,180.343183164661
"2.5%",1.21556179272115,0.504326887406566,1.36135440465217,0.210657777093688,0.209037424498734,0.211773307640456,0.00218346047109019,588.18484717792,154.684729641263
"2.5%",1.69214533195289,0.35459114938225,1.06562834247216,0.157450130463436,0.156616373166093,0.159452884643867,9.18133040705982e-08,566.273706730233,156.793039829852
"2.5%",1.39910305100417,0.473968923504505,1.08965115215312,0.314266168392036,0.313204887484023,0.315271993668356,3.60394722953572e-08,707.802721064099,212.804418570379
