"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.60025319031579,0.395254368889192,1.04237292560566,0.308449845211901,0.307599515734799,0.309867341076649,7.35713223676271e-09,621.178653553632,190.480994090217
"2.5%",1.62094231151888,0.431502421680044,0.911346332712327,0.15218315330836,0.151356939785262,0.152838372781883,3.46389583683049e-13,843.896354899715,192.64352188062
"2.5%",2.32700684030817,0.262633576317617,0.683366024661495,0.47800247441306,0.476874994375194,0.479063320890192,5.53734835762043e-12,624.598447981658,214.688254845689
"2.5%",1.39213767816702,0.498892738246881,1.08920567496235,0.277999610879036,0.277037996967985,0.278892270365152,3.89756138474695e-09,869.616035133399,196.311844461667
"2.5%",1.42525753623886,0.48820738562125,1.00640721793789,0.156257293634106,0.15552325163215,0.157053212790523,2.43098430274813e-10,939.17372061984,278.134020822521
"2.5%",2.63175334820639,0.241317558680249,0.63348219283012,0.315124511221031,0.314212663086156,0.316066479106562,3.98792110445356e-13,736.483404385677,238.38378286829
"2.5%",1.31713242656078,0.503376081452902,1.11116224031816,0.358202008221767,0.35721936589265,0.359084665255171,1.36561228902821e-06,785.941161836808,230.375879312987
"2.5%",1.437824865501,0.415752914566242,1.12059299390706,0.348201178164868,0.347217982895576,0.34921930107852,2.49175416477954e-06,587.03202582851,161.743258812347
"2.5%",2.02754221201806,0.331805463113556,0.727277630966062,0.109944925163703,0.108862860302081,0.110508192581771,4.44089209850063e-16,863.491621377808,255.554575661136
"2.5%",3.36354616963978,0.171106796551171,0.465845756078206,0.356609337197088,0.355678689895481,0.35754200414794,4.08903133575222e-10,771.123887253919,311.578576693518
"2.5%",1.52275860315624,0.422298335858416,1.07254856772646,0.395889666260809,0.394852539608376,0.39686224689632,6.04214234201095e-09,641.573518532297,168.417324069237
"2.5%",2.73851900341761,0.224510786029742,0.607155913639241,0.269294002779431,0.268184198523276,0.270187413398523,4.78683759297382e-12,692.076455415729,211.34186618738
"2.5%",1.81093280336255,0.353697480297743,0.864593953375095,0.23338121639216,0.232323647176622,0.234181502887279,4.14779321999958e-12,781.525038444837,210.317067847753
"2.5%",1.53560108043277,0.426439456576236,1.01549537209636,0.312595520829242,0.31166158077722,0.313523944369679,3.36082361940271e-09,670.805062418363,181.686724585797
"2.5%",1.5124067907627,0.411825840570656,1.03543414780136,0.23057361519327,0.229663608925608,0.231541343682115,3.18716368852279e-08,735.896585298855,212.916054194637
