"","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array"
"2.5%",1.86727072908889,0.343685934076347,0.830573758777858,0.526746441724083,0.525306457960965,0.527644016644883,0,776.776430756312,237.610963396685
"2.5%",1.63664679889345,0.416259374274482,0.903968506386548,0.515667643013758,0.515039561386557,0.516968260254839,0,983.782949803085,276.945475669061
"2.5%",1.51677243773008,0.436877964033062,1.03883488509518,0.637042243869008,0.636366356290614,0.637752495126083,0,766.485262301055,227.324934867485
"2.5%",2.38386678633894,0.253095843558215,0.658788053709611,0.695383368341389,0.694507233773484,0.696054897629811,0,580.276248124181,216.754214276542
"2.5%",1.31389401190004,0.465943928055974,1.11643474610764,0.574257842318703,0.573021923258075,0.574917492855973,5.7340932002603e-10,812.478484762002,225.834552340331
"2.5%",1.52846131291163,0.44379577743795,1.00196890514141,0.638846268862222,0.638110386932095,0.639542564604747,0,854.684323062148,293.61090317517
"2.5%",1.86861932926935,0.347975447848547,0.735429499877307,0.453085872754821,0.452434476931517,0.453862589110673,0,1045.33590798187,283.397135476575
"2.5%",1.77413935414411,0.391549523298552,0.816533204557406,0.494822931549883,0.494140050337691,0.495646072465616,0,1005.97340514768,282.851121749554
"2.5%",1.92115311916292,0.362391112613561,0.749727908697374,0.556108480781569,0.555481571302828,0.557168532492951,0,920.023553169544,268.69477762798
"2.5%",2.07266206360341,0.335424203561288,0.675294729515617,0.558070204647978,0.557458908248175,0.559076837150741,0,1016.30355175209,277.756717963013
"2.5%",1.85850915309848,0.378849628087902,0.75688262842533,0.494213933335733,0.493288865440185,0.494881817120888,0,988.597349462637,291.762413967733
"2.5%",1.88130336967575,0.3555411156478,0.779947887439785,0.535189372938045,0.534300969945763,0.535859092568884,0,935.417317105259,268.646926628317
"2.5%",2.25496454374524,0.314243134937858,0.61169439623396,0.479216576362514,0.478481953180888,0.479878889135251,0,1358.01530420169,446.624391847551
"2.5%",1.340664704943,0.48961189053921,1.04346213901459,0.448689385683746,0.447954839379419,0.45020422795296,8.87734330490275e-13,952.158676047489,268.624356884254
"2.5%",1.85203576392406,0.364664495946188,0.765554719645172,0.57668276099417,0.575879715036943,0.57740221835216,0,888.542153518042,279.771916422102
"2.5%",2.58002777353529,0.256595822367327,0.586851550518055,0.5375900384683,0.536702804284617,0.538195375350184,0,1045.89005955557,349.157048929359
"2.5%",2.30373532676799,0.283785275142672,0.695276915741076,0.410573771437446,0.409702115057998,0.41614610054252,0,832.940576510947,281.698268400633
"2.5%",1.89310049897036,0.364511807096816,0.724684340864666,0.350531950744184,0.349318558958812,0.351145377201136,0,1220.51492715328,331.09990588083
"2.5%",2.47063296052845,0.261854834298448,0.589713048616914,0.553132256395057,0.552452540055905,0.554609673793953,0,844.804895955493,273.557065462074
"2.5%",1.95036266863883,0.355133355528979,0.702323277017844,0.494098870077508,0.493419865807698,0.494906182898855,0,984.359115104451,287.166831269424
"2.5%",2.06156964128349,0.287511570324692,0.71426142470683,0.577624908120766,0.576755751008628,0.57828113981831,0,936.896787747342,326.623096932281
"2.5%",1.7440322493392,0.388958239065285,0.824714677408091,0.596626334079869,0.595987859453594,0.597633248270721,0,846.343819126283,235.651991620327
"2.5%",1.84161240084305,0.363079189946982,0.761758344891301,0.450962359735163,0.450309707390093,0.451978221559513,0,999.387322680877,282.090343617359
"2.5%",2.73098431472586,0.26247524399561,0.502247082720373,0.559480616402932,0.55881260533763,0.560285186567834,0,1201.67645077393,389.557394887001
"2.5%",1.73795624150528,0.399181925867252,0.877638526660874,0.545666036280123,0.544803359542821,0.546817810403904,0,724.06439746404,225.414058890736
"2.5%",2.8883245177155,0.225845901776937,0.504654793783394,0.471119363838112,0.470387032143536,0.472520980585758,0,994.40033446225,338.331579777045
"2.5%",1.78263742814248,0.385493830306539,0.791122836736699,0.619603339804052,0.618947962007431,0.620292729849359,0,1037.45330147934,365.52365288619
"2.5%",3.38985687587592,0.182228553232797,0.431753240590079,0.577557162949215,0.576807770615611,0.57824655893827,0,960.710788479596,310.760928440229
"2.5%",2.36238880015136,0.310076206787926,0.578370379395116,0.398585158683208,0.397989846853617,0.399321767012597,0,1479.43822722797,467.77297313918
"2.5%",1.66894204217353,0.394731442739852,0.917424998221481,0.53413288328651,0.533143531535903,0.534812699579973,0,893.385123334396,250.149316294597
"2.5%",1.70747972898417,0.426959614382877,0.804409344757658,0.49834966647984,0.497606793263551,0.499096992630946,0,1172.00367307762,335.828123137686
"2.5%",2.42038562098349,0.263763144868689,0.605816749065535,0.516760862722183,0.516052903892811,0.51751960401732,0,1058.21013425051,325.827993980041
"2.5%",1.84595003623227,0.365606316605932,0.773629571514305,0.573684249810551,0.57284124046452,0.574459205216557,0,799.135379010979,226.81669080144
"2.5%",2.48124615575224,0.234956592210952,0.613949430182171,0.504313882056393,0.503468191694455,0.505456226670756,0,805.93369300423,259.726461430187
"2.5%",2.33600036281368,0.281965731614318,0.617905971500375,0.618948260890001,0.618018693603256,0.619583885218019,0,947.53402296839,349.014086724236
"2.5%",1.75959815249913,0.388370537740771,0.806671031591827,0.47666161440248,0.475996806410596,0.477487146012374,0,1127.26017530606,344.975657682316
"2.5%",1.9840833506607,0.341061732095954,0.712665066895068,0.47566353775,0.47503145942687,0.476663173006307,0,1089.26517974944,312.036702219844
"2.5%",1.97088656879427,0.354254251451448,0.728699927697474,0.413716468568168,0.413072368361354,0.414698883037962,0,1148.13702242695,313.636084657511
"2.5%",2.12135489226612,0.318927767060526,0.69997414496654,0.552749413273386,0.551852852213549,0.553425433830796,0,824.593226846239,257.8243894726
"2.5%",1.91339826595664,0.333240267451354,0.766067211540418,0.45552783800613,0.454208431642794,0.458518116295101,0,799.786867571731,252.215935738428
"2.5%",1.81528990363133,0.409437905844632,0.754294031880389,0.437539676548345,0.436786933137515,0.43827493090887,0,1268.27712722901,356.158064625631
"2.5%",1.54153692099939,0.38635676766363,0.957138968966794,0.573320198004611,0.572111508172462,0.573941676642111,9.76996261670138e-15,796.79350713975,271.93040228902
"2.5%",2.11933449552326,0.299162279285818,0.705977417011695,0.511698948072362,0.510942867023715,0.513522862540768,0,897.407906470081,273.105830553508
"2.5%",2.93015685813025,0.195536303342302,0.538501566495585,0.592068765014843,0.591393236179175,0.592864635881979,0,741.144362967533,248.874888558939
"2.5%",1.93086852849251,0.353902662238375,0.770412414414525,0.55338374900132,0.552709392367162,0.554973406176639,0,842.089868196378,229.280167613158
"2.5%",1.72700130624496,0.381784066627872,0.857677693750753,0.617854553849161,0.617168098007425,0.61862218445859,0,840.139737343882,278.256202742652
"2.5%",1.53474329458966,0.436183950888912,0.902546423970784,0.454603453068646,0.453965986910772,0.455483362894605,0,1077.01486013018,300.242499574631
"2.5%",1.82460080384114,0.374393812409534,0.782771054214809,0.537384300185689,0.536575197089755,0.538025528990593,0,1014.22783213845,304.004755807595
"2.5%",1.7045713727042,0.379322841733289,0.888701853081075,0.505991849754957,0.505236931556131,0.507136647102268,0,814.437005278229,237.324406634656
