metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
1417,logitpi,-2.1245,0.000015,1000,-138782,<.0001,0.05,-2.1246,-2.1245,-906.798
1417,beta1,-1.5431,6.55E-6,1000,-235597,<.0001,0.05,-1.5432,-1.5431,-1391.41
1417,sig1,-0.06938,2.756E-6,1000,-25180,<.0001,0.05,-0.06939,-0.06938,1460.10
1417,beta2,-1.5039,6.449E-6,1000,-233220,<.0001,0.05,-1.5040,-1.5039,-749.607
1417,sig2,-0.1047,2.846E-6,1000,-36776,<.0001,0.05,-0.1047,-0.1047,743.958
1417,fz,2.1282,8.058E-6,1000,264108,<.0001,0.05,2.1282,2.1282,27.6970
1576,logitpi,-1.4694,7.318E-6,1000,-200787,<.0001,0.05,-1.4694,-1.4694,-425.545
1576,beta1,-2.1018,9.525E-6,1000,-220647,<.0001,0.05,-2.1018,-2.1017,-119.547
1576,sig1,-0.05544,4.282E-6,1000,-12948,<.0001,0.05,-0.05545,-0.05544,1085.97
1576,beta2,-1.7007,8.232E-6,1000,-206594,<.0001,0.05,-1.7007,-1.7007,1.53700
1576,sig2,0.2965,3.709E-6,1000,79937.0,<.0001,0.05,0.2965,0.2965,825.439
1576,fz,1.4945,0.000018,1000,82060.8,<.0001,0.05,1.4945,1.4946,335.477
1603,logitpi,-1.8831,,1000,,,0.05,,,3325.36
1603,beta1,-2.0171,,1000,,,0.05,,,4255.64
1603,sig1,-0.2054,0.000355,1000,-578.64,<.0001,0.05,-0.2061,-0.2047,-3028.07
1603,beta2,-1.7675,,1000,,,0.05,,,4335.96
1603,sig2,0.1180,0.000210,1000,561.77,<.0001,0.05,0.1176,0.1184,-4546.19
1603,fz,3.3869,0.1465,1000,23.11,<.0001,0.05,3.0994,3.6745,-8.39269
1696,logitpi,-1.9032,,1000,,,0.05,,,-3.29E81
1696,beta1,-1.7320,0,1000,I,<.0001,0.05,M,I,6475.49
1696,sig1,-0.3311,0,1000,I,<.0001,0.05,M,I,-33161.8
1696,beta2,-1.9125,0,1000,I,<.0001,0.05,M,I,14749.9
1696,sig2,0.3381,,1000,,,0.05,,,-17133.5
1696,fz,3.9295,,1000,,,0.05,,,1.94E81
1702,logitpi,-1.6982,0.6206,1000,-2.74,0.0063,0.05,-2.9160,-0.4803,-0.01923
1702,beta1,-1.4668,0.1997,1000,-7.34,<.0001,0.05,-1.8588,-1.0749,-0.00464
1702,sig1,-0.3192,0.2293,1000,-1.39,0.1643,0.05,-0.7692,0.1308,-0.02134
1702,beta2,-1.0603,0.2394,1000,-4.43,<.0001,0.05,-1.5301,-0.5905,0.008382
1702,sig2,-0.1010,0.2096,1000,-0.48,0.6299,0.05,-0.5123,0.3103,-0.01725
1702,fz,7.0855,2.6639,1000,2.66,0.0079,0.05,1.8581,12.3129,-0.00011
1864,logitpi,-11.6884,0,1000,I,<.0001,0.05,M,I,0.000016
1864,beta1,-4.2931,0,1000,I,<.0001,0.05,M,I,0.016973
1864,sig1,-0.2755,0,1000,I,<.0001,0.05,M,I,7.496E81
1864,beta2,-5.0550,0,1000,I,<.0001,0.05,M,I,-0.02723
1864,sig2,-0.5069,0,1000,I,<.0001,0.05,M,I,-0.01071
1864,fz,6.6456,0,1000,I,<.0001,0.05,M,I,-0.00002
1887,logitpi,-0.7447,,,,,,,,15207.0
1887,beta1,-1.9938,,,,,,,,2.596E84
1887,sig1,0.3709,,,,,,,,5.668E84
1887,beta2,-1.6129,,,,,,,,10871.9
1887,sig2,0.4104,,,,,,,,-12494.6
1887,fz,3.4267,,,,,,,,1.755E84
1892,logitpi,-1.3069,7.002E-6,1000,-186643,<.0001,0.05,-1.3069,-1.3069,-455.354
1892,beta1,-1.9174,9.245E-6,1000,-207404,<.0001,0.05,-1.9175,-1.9174,-94.6855
1892,sig1,0.1527,3.41E-6,1000,44781.6,<.0001,0.05,0.1527,0.1527,998.110
1892,beta2,-2.5605,0.000011,1000,-231067,<.0001,0.05,-2.5605,-2.5605,-37.6958
1892,sig2,0.2559,5.139E-6,1000,49805.5,<.0001,0.05,0.2559,0.2560,711.535
1892,fz,1.5077,0.000020,1000,75168.4,<.0001,0.05,1.5077,1.5078,189.160
1974,logitpi,-8.4384,37.9746,1000,-0.22,0.8242,0.05,-82.9574,66.0805,0.000688
