metaanalysisid,Descr,Value
4154,-2 Log Likelihood,327.7
4154,AIC (smaller is better),339.7
4154,AICC (smaller is better),349.0
4154,BIC (smaller is better),344.3
4586,-2 Log Likelihood,2490.3
4586,AIC (smaller is better),2502.3
4586,AICC (smaller is better),2507.9
4586,BIC (smaller is better),2508.8
4994,-2 Log Likelihood,737.1
4994,AIC (smaller is better),749.1
4994,AICC (smaller is better),756.7
4994,BIC (smaller is better),754.4
5654,-2 Log Likelihood,697.4
5654,AIC (smaller is better),709.4
5654,AICC (smaller is better),730.4
5654,BIC (smaller is better),711.8
5805,-2 Log Likelihood,555.5
5805,AIC (smaller is better),567.5
5805,AICC (smaller is better),584.3
5805,BIC (smaller is better),570.4
5823,-2 Log Likelihood,1040.4
5823,AIC (smaller is better),1052.4
5823,AICC (smaller is better),1069.2
5823,BIC (smaller is better),1055.3
6094,-2 Log Likelihood,450.4
6094,AIC (smaller is better),462.4
6094,AICC (smaller is better),490.4
6094,BIC (smaller is better),464.2
6265,-2 Log Likelihood,202.7
6265,AIC (smaller is better),214.7
6265,AICC (smaller is better),226.7
6265,BIC (smaller is better),218.5
6517,-2 Log Likelihood,501.4
6517,AIC (smaller is better),513.4
6517,AICC (smaller is better),519.0
6517,BIC (smaller is better),520.0
6592,-2 Log Likelihood,295.9
6592,AIC (smaller is better),307.9
6592,AICC (smaller is better),318.4
6592,BIC (smaller is better),312.1
6640,-2 Log Likelihood,248.4
6640,AIC (smaller is better),260.4
6640,AICC (smaller is better),268.1
6640,BIC (smaller is better),265.8
6660,-2 Log Likelihood,506.4
6660,AIC (smaller is better),518.4
6660,AICC (smaller is better),522.9
6660,BIC (smaller is better),526.0
6694,-2 Log Likelihood,317.1
6694,AIC (smaller is better),329.1
6694,AICC (smaller is better),345.9
6694,BIC (smaller is better),332.0
6868,-2 Log Likelihood,592.2
6868,AIC (smaller is better),604.2
6868,AICC (smaller is better),621.0
6868,BIC (smaller is better),607.1
6889,-2 Log Likelihood,1062.9
6889,AIC (smaller is better),1074.9
6889,AICC (smaller is better),1091.7
6889,BIC (smaller is better),1077.8
6892,-2 Log Likelihood,632.5
6892,AIC (smaller is better),644.5
6892,AICC (smaller is better),661.3
6892,BIC (smaller is better),647.4
6916,-2 Log Likelihood,1200.3
6916,AIC (smaller is better),1212.3
6916,AICC (smaller is better),1233.3
6916,BIC (smaller is better),1214.7
6955,-2 Log Likelihood,3353.2
6955,AIC (smaller is better),3365.2
6955,AICC (smaller is better),3367.6
6955,BIC (smaller is better),3375.6
6979,-2 Log Likelihood,1861.1
6979,AIC (smaller is better),1873.1
6979,AICC (smaller is better),1882.4
6979,BIC (smaller is better),1877.7
6981,-2 Log Likelihood,1423.4
6981,AIC (smaller is better),1435.4
6981,AICC (smaller is better),1439.6
6981,BIC (smaller is better),1443.2
6985,-2 Log Likelihood,725.0
6985,AIC (smaller is better),737.0
6985,AICC (smaller is better),744.0
6985,BIC (smaller is better),742.6
6988,-2 Log Likelihood,2161.4
6988,AIC (smaller is better),2173.4
6988,AICC (smaller is better),2182.8
6988,BIC (smaller is better),2178.1
6991,-2 Log Likelihood,1326.2
6991,AIC (smaller is better),1338.2
6991,AICC (smaller is better),1345.2
6991,BIC (smaller is better),1343.8
6994,-2 Log Likelihood,707.0
6994,AIC (smaller is better),719.0
6994,AICC (smaller is better),728.3
6994,BIC (smaller is better),723.6
7000,-2 Log Likelihood,2919.3
7000,AIC (smaller is better),2931.3
7000,AICC (smaller is better),2938.9
7000,BIC (smaller is better),2936.6
7123,-2 Log Likelihood,1528.7
7123,AIC (smaller is better),1540.7
7123,AICC (smaller is better),1552.7
7123,BIC (smaller is better),1544.5
7144,-2 Log Likelihood,3821.0
7144,AIC (smaller is better),3833.0
7144,AICC (smaller is better),3847.0
7144,BIC (smaller is better),3836.4
7360,-2 Log Likelihood,841.1
7360,AIC (smaller is better),853.1
7360,AICC (smaller is better),855.6
7360,BIC (smaller is better),863.4
7384,-2 Log Likelihood,1179.5
7384,AIC (smaller is better),1191.5
7384,AICC (smaller is better),1194.3
7384,BIC (smaller is better),1201.1
7387,-2 Log Likelihood,1228.4
7387,AIC (smaller is better),1240.4
7387,AICC (smaller is better),1245.3
7387,BIC (smaller is better),1247.4
7399,-2 Log Likelihood,728.3
7399,AIC (smaller is better),740.3
7399,AICC (smaller is better),752.3
7399,BIC (smaller is better),744.2
7405,-2 Log Likelihood,551.7
7405,AIC (smaller is better),563.7
7405,AICC (smaller is better),571.3
7405,BIC (smaller is better),569.0
7636,-2 Log Likelihood,1299.5
7636,AIC (smaller is better),1311.5
7636,AICC (smaller is better),1317.1
7636,BIC (smaller is better),1318.0
7864,-2 Log Likelihood,1378.2
7864,AIC (smaller is better),1390.2
7864,AICC (smaller is better),1411.2
7864,BIC (smaller is better),1392.6
7868,-2 Log Likelihood,680.7
7868,AIC (smaller is better),692.7
7868,AICC (smaller is better),720.7
7868,BIC (smaller is better),694.5
7872,-2 Log Likelihood,2847.7
7872,AIC (smaller is better),2859.7
7872,AICC (smaller is better),2880.7
7872,BIC (smaller is better),2862.1
7953,-2 Log Likelihood,650.2
7953,AIC (smaller is better),662.2
7953,AICC (smaller is better),690.2
7953,BIC (smaller is better),664.0
8124,-2 Log Likelihood,257.5
8124,AIC (smaller is better),269.5
8124,AICC (smaller is better),290.5
8124,BIC (smaller is better),271.9
8126,-2 Log Likelihood,1596.0
8126,AIC (smaller is better),1608.0
8126,AICC (smaller is better),1617.3
8126,BIC (smaller is better),1612.6
8202,-2 Log Likelihood,401.1
8202,AIC (smaller is better),413.1
8202,AICC (smaller is better),427.1
8202,BIC (smaller is better),416.5
8933,-2 Log Likelihood,1502.9
8933,AIC (smaller is better),1514.9
8933,AICC (smaller is better),1523.3
8933,BIC (smaller is better),1519.9
9114,-2 Log Likelihood,715.2
9114,AIC (smaller is better),727.2
9114,AICC (smaller is better),755.2
9114,BIC (smaller is better),729.0
9130,-2 Log Likelihood,1783.2
9130,AIC (smaller is better),1795.2
9130,AICC (smaller is better),1816.2
9130,BIC (smaller is better),1797.6
9650,-2 Log Likelihood,3684.9
9650,AIC (smaller is better),3696.9
9650,AICC (smaller is better),3701.1
9650,BIC (smaller is better),3704.6
9656,-2 Log Likelihood,1952.8
9656,AIC (smaller is better),1964.8
9656,AICC (smaller is better),1985.8
9656,BIC (smaller is better),1967.2
9668,-2 Log Likelihood,2387.9
9668,AIC (smaller is better),2399.9
9668,AICC (smaller is better),2408.3
9668,BIC (smaller is better),2404.9
9670,-2 Log Likelihood,2319.4
9670,AIC (smaller is better),2331.4
9670,AICC (smaller is better),2338.4
9670,BIC (smaller is better),2337.1
9672,-2 Log Likelihood,2274.0
9672,AIC (smaller is better),2286.0
9672,AICC (smaller is better),2293.7
9672,BIC (smaller is better),2291.4
10112,-2 Log Likelihood,607.6
10112,AIC (smaller is better),619.6
10112,AICC (smaller is better),631.6
10112,BIC (smaller is better),623.4
10116,-2 Log Likelihood,306.9
10116,AIC (smaller is better),318.9
10116,AICC (smaller is better),346.9
10116,BIC (smaller is better),320.7
10118,-2 Log Likelihood,519.2
10118,AIC (smaller is better),531.2
10118,AICC (smaller is better),545.2
10118,BIC (smaller is better),534.6
10128,-2 Log Likelihood,974.2
10128,AIC (smaller is better),986.2
10128,AICC (smaller is better),996.7
10128,BIC (smaller is better),990.4
10132,-2 Log Likelihood,232E75
10132,AIC (smaller is better),232E75
10132,AICC (smaller is better),232E75
10132,BIC (smaller is better),232E75
10134,-2 Log Likelihood,850.8
10134,AIC (smaller is better),862.8
10134,AICC (smaller is better),874.8
10134,BIC (smaller is better),866.7
10146,-2 Log Likelihood,372.3
10146,AIC (smaller is better),384.3
10146,AICC (smaller is better),401.1
10146,BIC (smaller is better),387.2
10148,-2 Log Likelihood,589.9
