metaanalysisid,Descr,Value
45,BIC (smaller is better),161.5
46,-2 Log Likelihood,278.6
46,AIC (smaller is better),288.6
46,AICC (smaller is better),303.6
46,BIC (smaller is better),290.1
47,-2 Log Likelihood,212.2
47,AIC (smaller is better),222.2
47,AICC (smaller is better),237.2
47,BIC (smaller is better),223.7
48,-2 Log Likelihood,257.7
48,AIC (smaller is better),267.7
48,AICC (smaller is better),282.7
48,BIC (smaller is better),269.3
50,-2 Log Likelihood,245.3
50,AIC (smaller is better),255.3
50,AICC (smaller is better),270.3
50,BIC (smaller is better),256.9
51,-2 Log Likelihood,233.3
51,AIC (smaller is better),243.3
51,AICC (smaller is better),258.3
51,BIC (smaller is better),244.8
52,-2 Log Likelihood,211.5
52,AIC (smaller is better),221.5
52,AICC (smaller is better),236.5
52,BIC (smaller is better),223.0
53,-2 Log Likelihood,143.8
53,AIC (smaller is better),153.8
53,AICC (smaller is better),168.8
53,BIC (smaller is better),155.4
54,-2 Log Likelihood,202.4
54,AIC (smaller is better),212.4
54,AICC (smaller is better),227.4
54,BIC (smaller is better),213.9
55,-2 Log Likelihood,215.3
55,AIC (smaller is better),225.3
55,AICC (smaller is better),240.3
55,BIC (smaller is better),226.8
56,-2 Log Likelihood,149.0
56,AIC (smaller is better),159.0
56,AICC (smaller is better),174.0
56,BIC (smaller is better),160.5
57,-2 Log Likelihood,177.7
57,AIC (smaller is better),187.7
57,AICC (smaller is better),202.7
57,BIC (smaller is better),189.2
58,-2 Log Likelihood,239.0
58,AIC (smaller is better),249.0
58,AICC (smaller is better),264.0
58,BIC (smaller is better),250.5
59,-2 Log Likelihood,218.9
59,AIC (smaller is better),228.9
59,AICC (smaller is better),243.9
59,BIC (smaller is better),230.4
60,-2 Log Likelihood,259.5
60,AIC (smaller is better),269.5
60,AICC (smaller is better),284.5
60,BIC (smaller is better),271.0
61,-2 Log Likelihood,100.9
61,AIC (smaller is better),110.9
61,AICC (smaller is better),125.9
61,BIC (smaller is better),112.4
63,-2 Log Likelihood,159.2
63,AIC (smaller is better),169.2
63,AICC (smaller is better),184.2
63,BIC (smaller is better),170.7
64,-2 Log Likelihood,209.2
64,AIC (smaller is better),219.2
64,AICC (smaller is better),234.2
64,BIC (smaller is better),220.7
65,-2 Log Likelihood,192.1
65,AIC (smaller is better),202.1
65,AICC (smaller is better),217.1
65,BIC (smaller is better),203.6
66,-2 Log Likelihood,113.3
66,AIC (smaller is better),123.3
66,AICC (smaller is better),138.3
66,BIC (smaller is better),124.8
67,-2 Log Likelihood,138.6
67,AIC (smaller is better),148.6
67,AICC (smaller is better),163.6
67,BIC (smaller is better),150.1
68,-2 Log Likelihood,179.3
68,AIC (smaller is better),189.3
68,AICC (smaller is better),204.3
68,BIC (smaller is better),190.8
69,-2 Log Likelihood,185.2
69,AIC (smaller is better),195.2
69,AICC (smaller is better),210.2
69,BIC (smaller is better),196.7
70,-2 Log Likelihood,345.7
70,AIC (smaller is better),355.7
70,AICC (smaller is better),370.7
70,BIC (smaller is better),357.2
71,-2 Log Likelihood,205.0
71,AIC (smaller is better),215.0
71,AICC (smaller is better),230.0
71,BIC (smaller is better),216.5
72,-2 Log Likelihood,224.4
72,AIC (smaller is better),234.4
72,AICC (smaller is better),249.4
72,BIC (smaller is better),235.9
73,-2 Log Likelihood,173.7
73,AIC (smaller is better),183.7
73,AICC (smaller is better),198.7
73,BIC (smaller is better),185.2
74,-2 Log Likelihood,217.0
74,AIC (smaller is better),227.0
74,AICC (smaller is better),242.0
74,BIC (smaller is better),228.5
75,-2 Log Likelihood,196.3
75,AIC (smaller is better),206.3
75,AICC (smaller is better),221.3
75,BIC (smaller is better),207.8
76,-2 Log Likelihood,329.0
76,AIC (smaller is better),339.0
76,AICC (smaller is better),354.0
76,BIC (smaller is better),340.5
77,-2 Log Likelihood,279.3
77,AIC (smaller is better),289.3
77,AICC (smaller is better),304.3
77,BIC (smaller is better),290.8
78,-2 Log Likelihood,232E75
78,AIC (smaller is better),232E75
78,AICC (smaller is better),232E75
78,BIC (smaller is better),232E75
79,-2 Log Likelihood,180.1
79,AIC (smaller is better),190.1
79,AICC (smaller is better),205.1
79,BIC (smaller is better),191.6
80,-2 Log Likelihood,228.0
80,AIC (smaller is better),238.0
80,AICC (smaller is better),253.0
80,BIC (smaller is better),239.6
81,-2 Log Likelihood,71.0
81,AIC (smaller is better),81.0
81,AICC (smaller is better),96.0
81,BIC (smaller is better),82.5
82,-2 Log Likelihood,185.5
82,AIC (smaller is better),195.5
82,AICC (smaller is better),210.5
82,BIC (smaller is better),197.0
83,-2 Log Likelihood,215.3
83,AIC (smaller is better),225.3
83,AICC (smaller is better),240.3
83,BIC (smaller is better),226.8
84,-2 Log Likelihood,282.6
84,AIC (smaller is better),292.6
84,AICC (smaller is better),307.6
84,BIC (smaller is better),294.1
85,-2 Log Likelihood,229.4
85,AIC (smaller is better),239.4
85,AICC (smaller is better),254.4
85,BIC (smaller is better),240.9
86,-2 Log Likelihood,162.8
86,AIC (smaller is better),172.8
86,AICC (smaller is better),187.8
86,BIC (smaller is better),174.3
