"V1","estimates","estimate_lower","estimate_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",1.21733251580592,0.378752027934097,1.72927133529122,0.241071064069629,243.250391039946,72.3130348519372,1
"2.5%",1.65246864162725,0.250615005460589,1.2938468442945,0.0523351509946,236.074545914404,81.9893682647413,2
"2.5%",0.760051375880909,0.666965291733979,2.52312879511834,0.00304372903929639,322.967063431717,76.7585366957209,3
"2.5%",0.751109267098199,0.611086797089316,2.80382820326975,0.00669792333613239,266.490173676311,103.10167628548,4
"2.5%",1.41192449961836,0.297872256487757,1.50962566462412,0.111193261034302,228.086630644738,69.901026948765,5
"2.5%",0.772952578327867,0.531767826563,3.0082932698618,0.0365085556859972,205.658615412395,75.1355767682875,6
"2.5%",1.00576630842789,0.457337058684409,1.95891544038962,0.965510311944134,279.905424317138,75.6010173116107,7
"2.5%",1.14079900982829,0.398629186659488,1.86918626563369,0.424343741616162,235.589814875698,78.2853893427534,8
"2.5%",0.905527162339584,0.386220761760068,2.92223742898033,0.587823452971304,129.603263787733,48.6710257862002,9
"2.5%",1.0787731518198,0.370643894551212,2.06444332570922,0.655023962047343,196.768644064033,63.8061158753374,10
"2.5%",0.644675384394492,0.685212239972718,3.33494459780428,4.53681135170747e-06,251.469675965937,106.823381717444,11
"2.5%",1.103673666457,0.360354921583307,2.24846936286234,0.606305927593837,183.049939975252,56.6001256843366,12
"2.5%",1.00263543247163,0.427530169085462,2.25653639241838,0.986159377805881,228.170472415958,69.7768669277023,13
"2.5%",1.30379025279417,0.37519646830016,1.49924345118653,0.108393710152291,314.884927945235,84.4456143865749,14
"2.5%",1.03371223243272,0.498161051157178,1.83514801322309,0.783363076971187,361.891785884375,120.334256879411,15
"2.5%",0.614651948674007,0.616197263817474,4.28065334666759,1.89775050098984e-05,149.116193086555,55.3892626148201,16
"2.5%",1.93163399640551,0.191707990663807,1.35530758146695,0.0813807393350969,136.314475801884,48.9848915652497,17
"2.5%",0.943587561670879,0.4519020779253,2.40421547390268,0.694379105365507,202.768302755456,64.950495770093,18
"2.5%",1.24444644197477,0.359637764070733,1.71222065350185,0.235409609972262,228.13803941226,67.3302938365223,19
"2.5%",0.757434268675565,0.660793360620533,2.77942070530534,0.00323915328831559,296.224812950011,77.6526335647821,20
"2.5%",0.889100488604662,0.496089507517946,2.43314568577749,0.354844759140366,239.624276244756,77.8489942157176,21
"2.5%",1.34501727450488,0.347813214721078,1.51532785422727,0.110079963912742,257.882473394351,77.1059098288374,22
"2.5%",1.02106976669943,0.382165814820837,2.35114222367669,0.906299815424243,173.276519790246,55.5029203008085,23
"2.5%",0.947893051335379,0.451402504910272,2.46716748850964,0.722476591286723,200.193483055176,63.2278448604343,24
"2.5%",0.926030678110226,0.425484287951981,2.53222160950605,0.630418671308998,187.471663152215,66.1541169791858,25
"2.5%",1.08935520587619,0.388582616989509,1.98476627045119,0.625041979903677,196.582122189401,62.5128235243358,26
"2.5%",0.877986792987716,0.479487241652663,2.52509331887922,0.341055696632832,207.990739842499,62.3918268244456,27
"2.5%",1.12687332324072,0.331193232909012,2.51768646887452,0.592715530770314,128.332031339182,46.5476245470278,28
