metaanalysisid,Parameter,Estimate,StandardError,DF,tValue,Probt,Alpha,Lower,Upper,Gradient
15765,sig1,-0.1859,0.3244,1000,-0.57,0.5666,0.05,-0.8224,0.4506,-0.00014
15765,beta2,-3.3674,0.2932,1000,-11.49,<.0001,0.05,-3.9427,-2.7921,-0.00017
15765,sig2,-0.3285,0.3627,1000,-0.91,0.3653,0.05,-1.0402,0.3832,-0.00018
15765,fz,6.0468,15.5153,1000,0.39,0.6968,0.05,-24.3995,36.4931,-0.00014
15771,beta1,-3.6664,0.3376,1000,-10.86,<.0001,0.05,-4.3289,-3.0040,-0.00004
15771,sig1,-5.8016,130.59,1000,-0.04,0.9646,0.05,-262.06,250.46,0.000011
15771,beta2,-4.8122,0.5797,1000,-8.30,<.0001,0.05,-5.9498,-3.6746,-0.00008
15771,sig2,-6.9190,456.13,1000,-0.02,0.9879,0.05,-902.00,888.17,-6.74E-7
15771,fz,1.5639,,1000,,,0.05,,,-2.4E-7
15860,beta1,-3.4615,0.1947,1000,-17.78,<.0001,0.05,-3.8436,-3.0794,0.000288
15860,sig1,-0.01641,0.1788,1000,-0.09,0.9269,0.05,-0.3673,0.3345,0.000794
15860,beta2,-3.1835,0.1566,1000,-20.34,<.0001,0.05,-3.4907,-2.8763,0.000099
15860,sig2,-0.2979,0.2098,1000,-1.42,0.1559,0.05,-0.7096,0.1138,-0.00133
15860,fz,5.2002,,1000,,,0.05,,,-0.00081
15861,beta1,-4.5731,0.4281,1000,-10.68,<.0001,0.05,-5.4133,-3.7329,0.000102
15861,sig1,0.02437,0.3879,1000,0.06,0.9499,0.05,-0.7369,0.7856,-0.00025
15861,beta2,-4.2353,0.4800,1000,-8.82,<.0001,0.05,-5.1772,-3.2934,0.000016
15861,sig2,0.2607,0.3547,1000,0.74,0.4625,0.05,-0.4354,0.9568,0.000078
15861,fz,1.3036,0.8144,1000,1.60,0.1097,0.05,-0.2945,2.9018,0.000036
15866,beta1,-3.7436,0.4115,1000,-9.10,<.0001,0.05,-4.5511,-2.9361,-0.00013
15866,sig1,-0.03926,0.3257,1000,-0.12,0.9041,0.05,-0.6785,0.6000,0.000740
15866,beta2,-3.4090,0.3809,1000,-8.95,<.0001,0.05,-4.1563,-2.6616,0.000473
15866,sig2,-0.07873,0.3485,1000,-0.23,0.8213,0.05,-0.7627,0.6052,-0.00028
15866,fz,5.4265,,1000,,,0.05,,,-0.00040
15876,beta1,-4.0821,0.4035,1000,-10.12,<.0001,0.05,-4.8740,-3.2902,-0.00045
15876,sig1,0.4103,0.2306,1000,1.78,0.0755,0.05,-0.04226,0.8628,-0.00238
15876,beta2,-4.1730,0.3673,1000,-11.36,<.0001,0.05,-4.8938,-3.4521,0.000586
15876,sig2,0.2814,0.2398,1000,1.17,0.2408,0.05,-0.1891,0.7519,0.002441
15876,fz,5.9932,,1000,,,0.05,,,-0.00046
15879,beta1,-3.5166,0.2251,1000,-15.62,<.0001,0.05,-3.9584,-3.0748,0.057270
15879,sig1,-0.6596,0.4354,1000,-1.52,0.1301,0.05,-1.5140,0.1947,-0.01513
15879,beta2,-3.3576,0.2823,1000,-11.89,<.0001,0.05,-3.9117,-2.8036,-0.01027
15879,sig2,-0.2883,0.3681,1000,-0.78,0.4337,0.05,-1.0106,0.4340,0.028234
15879,fz,6.5804,5.5234,1000,1.19,0.2338,0.05,-4.2583,17.4191,-0.00005
15885,beta1,-4.2056,0.4294,1000,-9.79,<.0001,0.05,-5.0482,-3.3630,-0.00137
15885,sig1,0.01125,0.4296,1000,0.03,0.9791,0.05,-0.8318,0.8543,-0.00134
15885,beta2,-4.3507,0.3770,1000,-11.54,<.0001,0.05,-5.0905,-3.6109,0.000991
15885,sig2,-0.1577,0.4462,1000,-0.35,0.7238,0.05,-1.0334,0.7179,0.001976
15885,fz,6.0984,29.3063,1000,0.21,0.8352,0.05,-51.4105,63.6074,-0.00045
15886,beta1,-3.4113,0.3328,1000,-10.25,<.0001,0.05,-4.0644,-2.7582,-0.00581
15886,sig1,-0.08581,0.3481,1000,-0.25,0.8053,0.05,-0.7689,0.5973,-0.01885
15886,beta2,-3.3892,0.2779,1000,-12.20,<.0001,0.05,-3.9345,-2.8440,0.017416
15886,sig2,-0.2980,0.3722,1000,-0.80,0.4237,0.05,-1.0284,0.4325,0.012069
15886,fz,6.0957,,1000,,,0.05,,,-0.00023
15909,beta1,-3.3353,0.1857,1000,-17.96,<.0001,0.05,-3.6996,-2.9710,0.000547
15909,sig1,-0.1139,0.1992,1000,-0.57,0.5675,0.05,-0.5049,0.2770,0.001417
15909,beta2,-3.1468,0.1611,1000,-19.53,<.0001,0.05,-3.4631,-2.8306,-0.00265
15909,sig2,-0.2991,0.2197,1000,-1.36,0.1737,0.05,-0.7301,0.1320,-0.00207
15909,fz,5.7903,5.2597,1000,1.10,0.2712,0.05,-4.5311,16.1117,-0.00024
15912,beta1,-4.4228,0.3015,1000,-14.67,<.0001,0.05,-5.0145,-3.8312,0.000020
15912,sig1,-0.9542,1.5968,1000,-0.60,0.5503,0.05,-4.0877,2.1793,0.000107
15912,beta2,-4.2799,0.3543,1000,-12.08,<.0001,0.05,-4.9752,-3.5846,-9.42E-6
15912,sig2,-0.5700,0.6293,1000,-0.91,0.3653,0.05,-1.8049,0.6649,0.000029
15912,fz,-0.7418,2.4907,1000,-0.30,0.7659,0.05,-5.6294,4.1458,-0.00004
15962,beta1,-4.6134,0,1000,I,<.0001,0.05,M,I,0.001315
15962,sig1,0.1567,0,1000,I,<.0001,0.05,M,I,0.013282
15962,beta2,-3.9354,0,1000,I,<.0001,0.05,M,I,-0.01433
15962,sig2,-0.8697,0,1000,I,<.0001,0.05,M,I,-0.00433
15962,fz,6.4726,0,1000,I,<.0001,0.05,M,I,-0.00001
15963,beta1,-4.1137,0,1000,I,<.0001,0.05,M,I,0.001469
15963,sig1,0.03799,0,1000,I,<.0001,0.05,M,I,9.211E81
15963,beta2,-4.2252,0,1000,I,<.0001,0.05,M,I,-0.00214
15963,sig2,-0.3396,0,1000,I,<.0001,0.05,M,I,-0.01137
15963,fz,6.6708,0,1000,I,<.0001,0.05,M,I,-0.00001
15965,beta1,-3.6525,0.3023,1000,-12.08,<.0001,0.05,-4.2457,-3.0593,0.000196
15965,sig1,-0.5196,0.4938,1000,-1.05,0.2930,0.05,-1.4886,0.4495,-0.00008
15965,beta2,-3.5097,0.2593,1000,-13.53,<.0001,0.05,-4.0186,-3.0008,-0.00015
15965,sig2,-0.7078,0.4979,1000,-1.42,0.1555,0.05,-1.6848,0.2693,-0.00008
15965,fz,5.1395,,1000,,,0.05,,,-0.00020
15966,beta1,-3.2752,0.3674,1000,-8.91,<.0001,0.05,-3.9962,-2.5543,0.002319
15966,sig1,-1.4934,4.7270,1000,-0.32,0.7521,0.05,-10.7694,7.7826,-0.00008
15966,beta2,-3.3953,0.3068,1000,-11.07,<.0001,0.05,-3.9974,-2.7932,-0.00065
15966,sig2,-3.5661,16.8984,1000,-0.21,0.8329,0.05,-36.7265,29.5944,0.000227
15966,fz,3.7185,,1000,,,0.05,,,-8E-6
16073,beta1,-2.5753,,1000,,,0.05,,,2.674E81
16073,sig1,0.3000,0,1000,I,<.0001,0.05,M,I,0
16073,beta2,-2.7276,0,1000,I,<.0001,0.05,M,I,2.565E81
16073,sig2,0.4280,,1000,,,0.05,,,0.24510
16073,fz,6.7874,,1000,,,0.05,,,1.228E81
16076,beta1,-2.0179,0.3026,1000,-6.67,<.0001,0.05,-2.6117,-1.4240,-0.03355
16076,sig1,0.3286,0.1372,1000,2.39,0.0168,0.05,0.05936,0.5979,-0.14824
16076,beta2,-1.9330,0.2328,1000,-8.30,<.0001,0.05,-2.3898,-1.4762,0.19468
16076,sig2,0.1379,0,1000,I,<.0001,0.05,M,I,-8.4E81
16076,fz,6.4438,1.3627,1000,4.73,<.0001,0.05,3.7697,9.1179,-0.00125
16103,beta1,-2.0789,0.4601,1000,-4.52,<.0001,0.05,-2.9817,-1.1761,-0.00013
16103,sig1,0.3888,0.2846,1000,1.37,0.1722,0.05,-0.1697,0.9473,-0.00042
16103,beta2,-1.7636,0.4015,1000,-4.39,<.0001,0.05,-2.5515,-0.9756,0.001238
16103,sig2,0.2700,0.2825,1000,0.96,0.3394,0.05,-0.2843,0.8244,-0.00079
16103,fz,5.5426,18.5610,1000,0.30,0.7653,0.05,-30.8803,41.9655,-0.00009
16114,beta1,-2.1830,0.6495,1000,-3.36,0.0008,0.05,-3.4576,-0.9085,-0.00019
16114,sig1,0.5684,0.3287,1000,1.73,0.0841,0.05,-0.07664,1.2135,0.000553
16114,beta2,-1.8542,0.5815,1000,-3.19,0.0015,0.05,-2.9953,-0.7131,0.000732
16114,sig2,0.4670,0.3290,1000,1.42,0.1561,0.05,-0.1787,1.1127,0.000673
16114,fz,5.2961,,1000,,,0.05,,,0.000310
16115,beta1,-2.2018,0,1000,I,<.0001,0.05,M,I,0.042257
16115,sig1,0.02472,0,1000,I,<.0001,0.05,M,I,0.066635
16115,beta2,-2.1796,0,1000,I,<.0001,0.05,M,I,-0.06453
16115,sig2,-0.1013,0,1000,I,<.0001,0.05,M,I,-0.04944
16115,fz,6.3599,0,1000,I,<.0001,0.05,M,I,-0.00011
16116,beta1,-2.4025,,,,,,,,0
16116,sig1,0.2168,,,,,,,,0
16116,beta2,-2.2886,,,,,,,,-2.36E84
16116,sig2,0.2375,,,,,,,,-6.28E84
16116,fz,7.2341,,,,,,,,0
16117,beta1,-2.0815,0,1000,I,<.0001,0.05,M,I,-0.01433
16117,sig1,0.3880,0,1000,I,<.0001,0.05,M,I,-6.89E81
16117,beta2,-1.7653,,1000,,,0.05,,,3.457E81
16117,sig2,0.2689,0,1000,I,<.0001,0.05,M,I,-0.01458
16117,fz,6.5103,0,1000,I,<.0001,0.05,M,I,-0.00001
16118,beta1,-2.0750,0.5252,1000,-3.95,<.0001,0.05,-3.1055,-1.0444,0.000331
16118,sig1,0.4219,0.2986,1000,1.41,0.1580,0.05,-0.1641,1.0078,0.000508
16118,beta2,-1.7412,0.4577,1000,-3.80,0.0002,0.05,-2.6394,-0.8429,-0.00010
16118,sig2,0.3102,0.2939,1000,1.06,0.2915,0.05,-0.2665,0.8869,-0.00016
16118,fz,2.5792,3.0400,1000,0.85,0.3964,0.05,-3.3864,8.5447,0.000171
16119,beta1,-2.0798,0.4611,1000,-4.51,<.0001,0.05,-2.9847,-1.1750,-0.01072
16119,sig1,0.3887,0.2687,1000,1.45,0.1484,0.05,-0.1386,0.9160,-0.01086
16119,beta2,-1.7641,0.4017,1000,-4.39,<.0001,0.05,-2.5523,-0.9759,0.007629
16119,sig2,0.2699,0.2654,1000,1.02,0.3094,0.05,-0.2509,0.7907,0.004737
16119,fz,6.2639,6.4336,1000,0.97,0.3305,0.05,-6.3609,18.8888,-0.00002
16319,beta1,-2.5305,0.3948,1000,-6.41,<.0001,0.05,-3.3052,-1.7557,-0.00016
16319,sig1,-0.2854,0.5537,1000,-0.52,0.6064,0.05,-1.3720,0.8012,-0.00002
16319,beta2,-2.7727,0.4376,1000,-6.34,<.0001,0.05,-3.6314,-1.9141,6.463E-6
16319,sig2,-0.2892,0.6547,1000,-0.44,0.6588,0.05,-1.5739,0.9956,-0.00004
16319,fz,5.9587,8.6221,1000,0.69,0.4897,0.05,-10.9608,22.8782,-0.00002
17045,beta1,-3.0900,0.4257,1000,-7.26,<.0001,0.05,-3.9254,-2.2545,0.000052
17045,sig1,0.3378,0.2921,1000,1.16,0.2479,0.05,-0.2355,0.9111,-0.00005
17045,beta2,-4.2311,0.6016,1000,-7.03,<.0001,0.05,-5.4116,-3.0505,-0.00014
17045,sig2,0.4830,0.3697,1000,1.31,0.1917,0.05,-0.2425,1.2085,5.431E-6
17045,fz,1.0529,0.4981,1000,2.11,0.0348,0.05,0.07541,2.0303,-0.00011
17102,beta1,-5.0128,0.2209,1000,-22.69,<.0001,0.05,-5.4463,-4.5793,0.011070
17102,sig1,-0.1680,0.2376,1000,-0.71,0.4798,0.05,-0.6342,0.2983,-8.19E81
17102,beta2,-4.7564,0.2268,1000,-20.97,<.0001,0.05,-5.2014,-4.3113,-0.00296
17102,sig2,-0.1447,0.2324,1000,-0.62,0.5335,0.05,-0.6007,0.3112,0.007007
17102,fz,6.2283,4.0857,1000,1.52,0.1277,0.05,-1.7892,14.2459,-0.00034
17107,beta1,-3.2102,0.2237,1000,-14.35,<.0001,0.05,-3.6491,-2.7714,0.000495
17107,sig1,-0.3796,0.3303,1000,-1.15,0.2507,0.05,-1.0277,0.2685,-0.00042
17107,beta2,-2.7887,0.2603,1000,-10.72,<.0001,0.05,-3.2994,-2.2780,-0.00006
17107,sig2,-0.1541,0.2779,1000,-0.55,0.5792,0.05,-0.6994,0.3911,0.000517
17107,fz,5.6803,23.3054,1000,0.24,0.8075,0.05,-40.0529,51.4134,-0.00003
17110,beta1,-4.2950,0.1913,1000,-22.45,<.0001,0.05,-4.6705,-3.9196,-0.00014
17110,sig1,-0.03257,0.1683,1000,-0.19,0.8466,0.05,-0.3629,0.2978,0.000451
17110,beta2,-3.8837,0.2069,1000,-18.77,<.0001,0.05,-4.2898,-3.4776,0.000951
17110,sig2,0.08319,0.1621,1000,0.51,0.6080,0.05,-0.2350,0.4014,0.000294
17110,fz,2.2853,0.5737,1000,3.98,<.0001,0.05,1.1595,3.4110,-0.00005
17143,beta1,-5.2520,0,1000,I,<.0001,0.05,M,I,-10.8409
17143,sig1,-1.1914,0,1000,I,<.0001,0.05,M,I,4.363E81
17143,beta2,-6.0250,,1000,,,0.05,,,-0.70692
17143,sig2,0.6854,0,1000,I,<.0001,0.05,M,I,-5.67E81
17143,fz,6.5291,0,1000,I,<.0001,0.05,M,I,1.27E81
17152,beta1,-4.9859,0.3072,1000,-16.23,<.0001,0.05,-5.5887,-4.3831,-0.03972
17152,sig1,0.1092,0.2365,1000,0.46,0.6443,0.05,-0.3549,0.5733,-0.02434
17152,beta2,-4.7609,0.3128,1000,-15.22,<.0001,0.05,-5.3748,-4.1470,0.025464
17152,sig2,0.1506,0.2289,1000,0.66,0.5105,0.05,-0.2985,0.5997,0.044481
17152,fz,6.0391,4.9901,1000,1.21,0.2265,0.05,-3.7533,15.8314,-0.00054
17156,beta1,-7.4283,,1000,,,0.05,,,0
17156,sig1,0.8928,,1000,,,0.05,,,-5.05E81
17156,beta2,-6.9855,,1000,,,0.05,,,1.197E81
17156,sig2,0.6521,,1000,,,0.05,,,0
17156,fz,7.0037,,1000,,,0.05,,,0
17160,beta1,-4.6941,0,1000,I,<.0001,0.05,M,I,0
17160,sig1,0.2197,0,1000,I,<.0001,0.05,M,I,0
17160,beta2,-4.9405,0,1000,I,<.0001,0.05,M,I,-1.61E81
17160,sig2,0.1360,0,1000,I,<.0001,0.05,M,I,0
17160,fz,6.5911,0,1000,I,<.0001,0.05,M,I,0
17183,beta1,-4.1138,0.3570,1000,-11.52,<.0001,0.05,-4.8144,-3.4133,-0.52502
17183,sig1,0.1170,0.2578,1000,0.45,0.6500,0.05,-0.3888,0.6228,8.559E81
17183,beta2,-4.6986,0.4368,1000,-10.76,<.0001,0.05,-5.5557,-3.8415,0.18355
17183,sig2,0.3033,0.2585,1000,1.17,0.2410,0.05,-0.2040,0.8107,0.41685
17183,fz,6.5683,,1000,,,0.05,,,-0.00257
17495,beta1,-2.9617,0.5771,1000,-5.13,<.0001,0.05,-4.0942,-1.8292,0.000115
17495,sig1,0.5706,0.3087,1000,1.85,0.0649,0.05,-0.03524,1.1765,0.000197
17495,beta2,-3.5941,0.4614,1000,-7.79,<.0001,0.05,-4.4996,-2.6885,0.000710
17495,sig2,0.2768,0.3266,1000,0.85,0.3969,0.05,-0.3641,0.9177,-0.00017
17495,fz,0.8452,0.4519,1000,1.87,0.0617,0.05,-0.04157,1.7321,-0.00038
17768,beta1,-3.7044,,1000,,,0.05,,,0.12718
17768,sig1,0.4533,,1000,,,0.05,,,0
17768,beta2,-3.6437,,1000,,,0.05,,,2.059E81
17768,sig2,0.3268,,1000,,,0.05,,,0.024442
17768,fz,6.6587,,1000,,,0.05,,,-0.00026
17842,beta1,-4.5856,0.6327,1000,-7.25,<.0001,0.05,-5.8273,-3.3440,-0.00007
17842,sig1,0.1153,0.4467,1000,0.26,0.7964,0.05,-0.7613,0.9918,-0.00005
17842,beta2,-4.4798,0.6059,1000,-7.39,<.0001,0.05,-5.6688,-3.2909,0.000057
17842,sig2,0.01356,0.4798,1000,0.03,0.9775,0.05,-0.9280,0.9551,0.000191
17842,fz,5.7108,,1000,,,0.05,,,-0.00009
17850,beta1,-7.8885,0,1000,I,<.0001,0.05,M,I,-1.08E81
17850,sig1,1.4073,0,1000,I,<.0001,0.05,M,I,3.972E81
17850,beta2,-7.6537,0,1000,I,<.0001,0.05,M,I,-1.1E81
17850,sig2,1.3194,0,1000,I,<.0001,0.05,M,I,4.122E81
17850,fz,6.3520,0,1000,I,<.0001,0.05,M,I,-1.3E81
17851,beta1,-4.6889,0,1000,I,<.0001,0.05,M,I,3.95515
17851,sig1,0.4504,0,1000,I,<.0001,0.05,M,I,5.37293
17851,beta2,-5.9826,0,1000,I,<.0001,0.05,M,I,-6.16302
17851,sig2,0.9172,0,1000,I,<.0001,0.05,M,I,-7.69863
17851,fz,6.3981,0,1000,I,<.0001,0.05,M,I,-0.00019
17925,beta1,1.62E83,0,1000,I,<.0001,0.05,M,I,0
17925,sig1,6.206E83,0,1000,I,<.0001,0.05,M,I,0
17925,beta2,-3.0740,0,1000,I,<.0001,0.05,M,I,0
17925,sig2,-0.08655,0,1000,I,<.0001,0.05,M,I,0
17925,fz,9.712E82,0,1000,I,<.0001,0.05,M,I,0
17926,beta1,-4.5513,,1000,,,0.05,,,-1.72E81
17926,sig1,0.5041,,1000,,,0.05,,,-0.38011
17926,beta2,-5.7404,0,1000,I,<.0001,0.05,M,I,-1.07922
17926,sig2,1.1045,,1000,,,0.05,,,2.23650
17926,fz,6.3795,0,1000,I,<.0001,0.05,M,I,-0.00011
17935,beta1,-4.3544,0,1000,I,<.0001,0.05,M,I,-0.04525
17935,sig1,0.3708,0,1000,I,<.0001,0.05,M,I,6.975E81
17935,beta2,-3.8602,0,1000,I,<.0001,0.05,M,I,0
17935,sig2,0.3253,0,1000,I,<.0001,0.05,M,I,0
17935,fz,6.8000,,1000,,,0.05,,,-1.23E81
17936,beta1,-4.0461,0,1000,I,<.0001,0.05,M,I,-0.02569
17936,sig1,0.2814,0,1000,I,<.0001,0.05,M,I,0.009627
17936,beta2,-3.6713,0,1000,I,<.0001,0.05,M,I,-2.05E81
17936,sig2,0.3283,,1000,,,0.05,,,0.018915
17936,fz,6.3620,0,1000,I,<.0001,0.05,M,I,-0.00008
17944,beta1,-3.5717,,1000,,,0.05,,,2.091E81
17944,sig1,-0.2814,0,1000,I,<.0001,0.05,M,I,0
17944,beta2,-3.1776,0,1000,I,<.0001,0.05,M,I,-2.29E81
17944,sig2,-0.9338,,1000,,,0.05,,,-0.00455
17944,fz,6.2904,,1000,,,0.05,,,-1.31E81
17982,beta1,-3.1790,0.2360,1000,-13.47,<.0001,0.05,-3.6421,-2.7158,0.006406
17982,sig1,-0.9329,0.7241,1000,-1.29,0.1979,0.05,-2.3537,0.4879,-0.00087
17982,beta2,-3.5717,0.3260,1000,-10.95,<.0001,0.05,-4.2114,-2.9319,0.000145
17982,sig2,-0.2841,0.4216,1000,-0.67,0.5005,0.05,-1.1113,0.5432,0.000040
17982,fz,5.5534,,1000,,,0.05,,,-0.00005
18038,beta1,-3.7171,,1000,,,0.05,,,-2.03E81
18038,sig1,-0.05557,,1000,,,0.05,,,0
18038,beta2,-3.5210,,1000,,,0.05,,,-0.02228
18038,sig2,-0.09478,,1000,,,0.05,,,-8.73E81
18038,fz,6.4407,,1000,,,0.05,,,1.285E81
18043,beta1,-3.8869,0,1000,I,<.0001,0.05,M,I,1.956E81
18043,sig1,-0.05784,0,1000,I,<.0001,0.05,M,I,0.019507
18043,beta2,-3.8184,0,1000,I,<.0001,0.05,M,I,-0.00553
18043,sig2,-0.1630,0,1000,I,<.0001,0.05,M,I,0.009573
18043,fz,6.4396,0,1000,I,<.0001,0.05,M,I,-0.00004
18066,beta1,-6.1932,1.4145,1000,-4.38,<.0001,0.05,-8.9690,-3.4174,0.000031
18066,sig1,0.7471,0.5036,1000,1.48,0.1382,0.05,-0.2411,1.7354,0.000145
18066,beta2,-2.5986,0.2721,1000,-9.55,<.0001,0.05,-3.1326,-2.0646,0.000014
18066,sig2,-0.3091,0.3823,1000,-0.81,0.4190,0.05,-1.0593,0.4411,0.000193
18066,fz,-1.5882,2.3009,1000,-0.69,0.4902,0.05,-6.1033,2.9269,0.000068
18070,beta1,-3.6494,0,1000,I,<.0001,0.05,M,I,0.010203
18070,sig1,-0.08163,0,1000,I,<.0001,0.05,M,I,0.001928
18070,beta2,-3.5791,,1000,,,0.05,,,-0.01485
18070,sig2,-0.01858,0,1000,I,<.0001,0.05,M,I,9.387E81
18070,fz,6.2221,,1000,,,0.05,,,1.324E81
18072,beta1,-6.0094,1.3548,1000,-4.44,<.0001,0.05,-8.6681,-3.3508,-0.00008
18072,sig1,0.7074,0.5073,1000,1.39,0.1635,0.05,-0.2880,1.7028,0.000097
18072,beta2,-2.6696,0.2567,1000,-10.40,<.0001,0.05,-3.1732,-2.1659,-0.00010
18072,sig2,-0.5368,0.4527,1000,-1.19,0.2359,0.05,-1.4251,0.3514,0.000010
18072,fz,-4.8518,,1000,,,0.05,,,-0.00007
18155,beta1,-2.4792,0.4602,1000,-5.39,<.0001,0.05,-3.3822,-1.5761,1.291E-6
18155,sig1,0.1049,0.3838,1000,0.27,0.7847,0.05,-0.6482,0.8580,-0.00004
18155,beta2,-1.9058,0.4286,1000,-4.45,<.0001,0.05,-2.7468,-1.0648,0.000086
18155,sig2,0.1157,0.3679,1000,0.31,0.7531,0.05,-0.6062,0.8377,0.000074
18155,fz,0.9422,0.5176,1000,1.82,0.0690,0.05,-0.07362,1.9580,0.000083
18158,beta1,-4.6143,0.6802,1000,-6.78,<.0001,0.05,-5.9492,-3.2794,-0.00009
18158,sig1,0.6290,0.3677,1000,1.71,0.0874,0.05,-0.09245,1.3505,-0.00009
18158,beta2,-4.2106,0.3838,1000,-10.97,<.0001,0.05,-4.9637,-3.4575,0.000098
18158,sig2,0.000525,0.3945,1000,0.00,0.9989,0.05,-0.7736,0.7747,0.000221
18158,fz,1.8871,1.2302,1000,1.53,0.1254,0.05,-0.5270,4.3012,0.000037
18167,beta1,-6.1120,1.2224,1000,-5.00,<.0001,0.05,-8.5107,-3.7133,0.001146
18167,sig1,1.0305,0.3563,1000,2.89,0.0039,0.05,0.3313,1.7296,-0.00101
18167,beta2,-4.7755,0.8156,1000,-5.86,<.0001,0.05,-6.3759,-3.1750,-0.00021
18167,sig2,0.7502,0.3243,1000,2.31,0.0209,0.05,0.1137,1.3867,0.000550
18167,fz,5.2955,,1000,,,0.05,,,-0.00071
18168,beta1,-3.5960,0.3465,1000,-10.38,<.0001,0.05,-4.2759,-2.9161,-0.09498
18168,sig1,-0.01303,0.2844,1000,-0.05,0.9635,0.05,-0.5711,0.5451,-0.08217
18168,beta2,-3.6450,0.3557,1000,-10.25,<.0001,0.05,-4.3430,-2.9470,0.050790
18168,sig2,0.02883,0.2859,1000,0.10,0.9197,0.05,-0.5322,0.5899,-0.02622
18168,fz,6.4256,,1000,,,0.05,,,-0.00014
18202,beta1,-3.9056,0.2870,1000,-13.61,<.0001,0.05,-4.4689,-3.3423,-0.00041
18202,sig1,-0.1175,0.3093,1000,-0.38,0.7041,0.05,-0.7245,0.4894,0.001187
18202,beta2,-3.8176,0.1698,1000,-22.48,<.0001,0.05,-4.1509,-3.4844,-0.00065
18202,sig2,-0.9468,0.4641,1000,-2.04,0.0416,0.05,-1.8575,-0.03602,0.000243
18202,fz,6.1791,6.8866,1000,0.90,0.3698,0.05,-7.3349,19.6930,-0.00008
18216,beta1,-2.8828,0.4370,1000,-6.60,<.0001,0.05,-3.7403,-2.0252,0.000531
18216,sig1,0.2845,0.2958,1000,0.96,0.3364,0.05,-0.2960,0.8651,0.000612
18216,beta2,-3.1751,0.3724,1000,-8.53,<.0001,0.05,-3.9059,-2.4442,-0.00094
18216,sig2,0.1019,0.3045,1000,0.33,0.7380,0.05,-0.4956,0.6993,-0.00041
18216,fz,2.2668,0.6966,1000,3.25,0.0012,0.05,0.8998,3.6339,-0.00028
18222,beta1,-2.9336,0.3561,1000,-8.24,<.0001,0.05,-3.6324,-2.2348,0.000874
18222,sig1,-0.08577,0.4572,1000,-0.19,0.8513,0.05,-0.9830,0.8115,-0.00127
18222,beta2,-3.5709,0.2892,1000,-12.35,<.0001,0.05,-4.1384,-3.0034,0.000618
18222,sig2,-0.4320,0.5201,1000,-0.83,0.4063,0.05,-1.4526,0.5885,0.000480
18222,fz,6.3921,9.6521,1000,0.66,0.5080,0.05,-12.5486,25.3328,-0.00006
18223,beta1,-2.3291,0.3920,1000,-5.94,<.0001,0.05,-3.0984,-1.5598,7.625E-6
18223,sig1,-0.1461,0.3858,1000,-0.38,0.7050,0.05,-0.9031,0.6110,0.000011
18223,beta2,-2.4837,0.3309,1000,-7.51,<.0001,0.05,-3.1331,-1.8343,-0.00003
18223,sig2,-0.3130,0.3818,1000,-0.82,0.4125,0.05,-1.0622,0.4362,0.000122
18223,fz,2.2011,1.3196,1000,1.67,0.0956,0.05,-0.3884,4.7906,8.868E-6
18224,beta1,-2.7545,0,1000,I,<.0001,0.05,M,I,-0.03881
18224,sig1,-0.5744,0,1000,I,<.0001,0.05,M,I,-0.01194
18224,beta2,-3.2177,0,1000,I,<.0001,0.05,M,I,0.11001
18224,sig2,-0.7230,,1000,,,0.05,,,5.549E81
18224,fz,6.7807,,1000,,,0.05,,,-0.00005
18225,beta1,-2.6632,0.5448,1000,-4.89,<.0001,0.05,-3.7323,-1.5941,0.000553
18225,sig1,0.2677,0.3562,1000,0.75,0.4525,0.05,-0.4312,0.9666,0.000024
18225,beta2,-3.3309,0.6682,1000,-4.98,<.0001,0.05,-4.6422,-2.0196,0.000213
18225,sig2,0.4795,0.3668,1000,1.31,0.1914,0.05,-0.2402,1.1993,-0.00010
18225,fz,1.4519,0.5590,1000,2.60,0.0095,0.05,0.3550,2.5489,0.000622
18230,beta1,-2.5620,0.2801,1000,-9.15,<.0001,0.05,-3.1117,-2.0122,0.000191
18230,sig1,-0.04762,0.2415,1000,-0.20,0.8437,0.05,-0.5215,0.4263,-0.00243
18230,beta2,-3.1649,0.2970,1000,-10.65,<.0001,0.05,-3.7478,-2.5820,0.002093
18230,sig2,-0.01885,0.2543,1000,-0.07,0.9409,0.05,-0.5179,0.4802,0.000395
18230,fz,1.7870,0.5941,1000,3.01,0.0027,0.05,0.6212,2.9529,0.000017
18293,beta1,-3.9913,0.7382,1000,-5.41,<.0001,0.05,-5.4398,-2.5427,0.000473
18293,sig1,0.2806,0.5167,1000,0.54,0.5872,0.05,-0.7333,1.2945,0.000014
18293,beta2,-2.0869,0.5291,1000,-3.94,<.0001,0.05,-3.1253,-1.0486,0.000301
18293,sig2,0.4215,0.2962,1000,1.42,0.1551,0.05,-0.1598,1.0027,0.000021
18293,fz,1.2271,0.8753,1000,1.40,0.1613,0.05,-0.4906,2.9447,-0.00028
18297,beta1,-3.5221,0.4578,1000,-7.69,<.0001,0.05,-4.4203,-2.6238,-0.00019
18297,sig1,0.04043,0.4210,1000,0.10,0.9235,0.05,-0.7858,0.8666,-0.00049
18297,beta2,-2.2924,0.6345,1000,-3.61,0.0003,0.05,-3.5375,-1.0473,-0.00010
18297,sig2,0.5655,0.3188,1000,1.77,0.0764,0.05,-0.06017,1.1912,-0.00025
