"V1","estimates","estimate_lower","estimate_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",1.00868721997362,0.71598046673685,1.317773687127,0.790565667216679,2353.58362189681,407.473995265702,1
"2.5%",1.0107435432853,0.729935941316756,1.3264281122438,0.734593723423607,2354.0944974794,407.984870848293,2
"2.5%",2.53463230146669,0.225995858360972,0.704095042299133,0.000217893505467748,1250.03225732419,272.858380048393,3
"2.5%",0.801603829989167,0.612977440713432,2.36641362958195,0.00902488110607047,315.116035262202,82.8241479921101,4
"2.5%",3.07160769882391,0.163336939197196,0.680894422536094,0.00142710585745154,455.34641141042,148.17553841972,5
"2.5%",1.08034614988268,0.624063041648803,1.36268838385651,0.162792690436679,983.499617416777,177.991835389958,6
"2.5%",1.12985577967808,0.68366944620198,1.12356392087085,9.94998230474664e-08,3547.18896302106,442.229352149319,1003
"2.5%",1.24003121428268,0.506411470888783,1.28433724891748,0.000853951947281217,641.336648097685,177.624061465037,1004
"2.5%",1.09041419709888,0.652889726827438,1.33340972024931,0.0127110843379259,835.744679490081,284.236279568309,1005
"2.5%",1.13321623966071,0.672758827094852,1.1842313330457,1.33087584064384e-06,1298.00674671378,378.672142283825,1006
"2.5%",1.2689555056059,0.543354042701873,1.12715619600121,1.36046368659493e-06,816.322764423559,249.000818759679,1007
"2.5%",0.914945526370217,0.530630818036367,2.14695803911633,0.443164129665778,243.470578809195,76.3212586778865,1008
"2.5%",1.12985577967808,0.68366944620198,1.12356392087085,9.94998230474664e-08,3547.18896302106,442.229352149319,1009
"2.5%",1.12549244107131,0.676718839089238,1.15208035627684,6.05706895751013e-06,3434.58897454628,409.847146607618,1010
"2.5%",1.18079001671912,0.614368153698803,1.16720023010748,1.05127975524866e-06,989.765090029802,320.343421939327,1011
"2.5%",1.09841140482227,0.720408087147863,1.15974059043048,1.48554500825071e-05,3509.55024410046,436.305756649564,1012
"2.5%",1.55777331945337,0.499377580976623,0.810014287094452,0,3804.45789315291,558.773048482602,1013
"2.5%",0.724484657719004,1.09749313818138,1.72817420340539,0,4027.961380319,719.042292646187,1014
"2.5%",1.2211467232781,0.600298801426384,1.15381695068937,1.56501041015389e-08,1055.28186015987,352.856608146845,1015
"2.5%",1.15837298553887,0.600352322632611,1.22351708126926,0.000709177600038524,1047.09735948522,232.843264934886,1016
"2.5%",1.10297407963831,0.708830836498463,1.16793663893697,4.98965722610656e-05,1498.82648698683,459.66853003378,1017
"2.5%",1.14865514432126,0.719447853755965,1.03640307875556,0,2624.62342500335,871.147018584478,1018
"2.5%",1.23255531527022,0.60757995914833,1.1138178045752,1.54450205958057e-08,1306.44972810695,321.945487898605,1019
"2.5%",0.988950901770716,0.677171458762138,1.47394347373975,0.844563434909116,629.294240599588,367.559004297904,1020
"2.5%",1.14839189041978,0.729973133906542,1.03090540321674,0,5973.01582721215,972.061114410809,1021
"2.5%",1.12545016089136,0.745068348301387,1.04796790754815,2.66897615119888e-13,5820.34175473478,931.473939574998,1022
"2.5%",1.15765812601702,0.715116508919218,1.06365651228163,4.88498130835069e-14,2104.77778722406,794.811252911914,1023
"2.5%",1.1614728830128,0.719855382670785,1.02255058989442,0,5880.42920874649,959.20685326283,1024
"2.5%",1.18236338541569,0.693669504138308,1.06441476842669,0,2179.97781106062,816.549242437274,1025
"2.5%",1.22196788370562,0.630985370116669,1.07448974833207,1.7720491740647e-11,1125.83456214906,361.233090636782,1026
"2.5%",1.17532883399082,0.686729267023565,1.05294356563979,4.44089209850063e-16,1868.38571458763,550.727016462082,1027
"2.5%",0.858824741050867,0.628874278149156,2.07355274806385,0.0935576240463047,302.945552697444,90.6287727405007,1028
"2.5%",1.11492278005095,0.725677019657089,1.11550193517539,3.1664116217911e-08,4116.07039321043,653.433483658048,1029
"2.5%",1.20825590235617,0.65530729743253,1.04464475028464,2.88657986402541e-15,1462.60460492053,429.803362091784,1030
"2.5%",1.21163369283134,0.644406201814629,1.03177961126376,0,1717.7606119991,527.006719929142,1031
"2.5%",0.992901555164081,0.70189855954867,1.41137883638872,0.892992647090209,644.440836045262,353.020664016698,1032
"2.5%",1.07742377902209,0.641643466566229,1.30811136045449,0.152004446431737,1069.3835892309,262.743134616629,103
"2.5%",1.04900312197212,0.638520133519748,1.43464575150194,0.413109592948953,1012.64371699012,247.006220429642,104
"2.5%",1.1172107280446,0.676335650145229,1.20418971133919,0.0101473294233556,1639.40208716073,449.238340124081,105
"2.5%",1.22575953416905,0.546585850419263,1.21182670725944,0.00351668567398922,1008.90175022877,202.535329057629,106
"2.5%",1.00937733376077,0.817737264291283,1.18711055696169,0.677680879917246,5459.77542183445,844.249970648597,107
"2.5%",0.949423138423695,0.68543993840796,1.52221971177827,0.293783014592906,1087.68656009425,282.934579798838,108
"2.5%",0.944625466305702,0.80003050983206,1.43004762181655,0.103461589764322,2270.13984576382,363.314361897218,1033
"2.5%",1.07292892134669,0.661595174918175,1.37310971203351,0.219012173365585,1779.38146146214,243.064487346646,1034
"2.5%",1.56053710210887,0.433753471833417,0.962604830393166,5.48502176567212e-06,5178.85826012831,1864.04438886087,1035
"2.5%",0.908145329252093,0.899609089115262,1.34780750706873,1.01913388839137e-09,8931.75510798903,927.857536278261,1036
"2.5%",1.13940110554073,0.674936525611047,1.12339287474374,2.8712504596129e-08,4149.01665250085,492.15712518042,1037
"2.5%",0.38891574969184,1.80890480195837,3.5914181360522,0,2726.37821403158,796.490596017533,1038
"2.5%",1.6467019289729,0.346340272519823,1.06722307188737,0.00177017496697207,5601.97077332763,706.439723990287,1039
