"V1","estimates","estimate_lower","estimate_upper","pi_estimates","pi_lower","pi_upper","p_value","DIC_array","DIC_true_array","ID"
"2.5%",1.1553281198718,0.713354279762913,1.04644766875766,0.20713541556731,0.206472999833994,0.207833002958411,6.66133814775094e-15,2039.41091567249,729.444381360342,1023
"2.5%",1.14313580204509,0.73276692691431,1.05259648898054,0.155826286442672,0.155277519040393,0.156385023607402,0,5849.58998436226,928.367628878592,1024
"2.5%",1.16710572455661,0.697970633077688,1.05117704638256,0.193482300403403,0.192730986724471,0.194039291676766,0,2138.13739892866,774.708830305317,1025
"2.5%",1.20100321871876,0.632157221657228,1.0954676024658,0.145000253562533,0.144376029873426,0.146113103017249,4.04272837428721e-10,1110.0311580305,345.429686518223,1026
"2.5%",1.15261951842134,0.685430050229044,1.09551793846393,0.115549532039583,0.115117376609068,0.11649234459303,1.24145138613585e-12,1842.38246960014,524.723771474598,1027
"2.5%",0.851067906544765,0.640680935186644,2.05766339399967,0.156656818710216,0.155300152192611,0.157974715687256,0.0605653627236875,301.972805838485,89.6560258815415,1028
"2.5%",1.10569603877688,0.730633497284491,1.13180211625044,0.107723241956559,0.10726899491965,0.108388856235305,1.04058734873291e-06,4116.53829781493,653.901388262541,1029
"2.5%",1.18929436306163,0.651376515886579,1.08566082794075,0.132417137793102,0.13149083245454,0.132911769437425,4.33679758771177e-11,1443.79330515824,410.992062329494,1030
"2.5%",1.20465678215058,0.66567733842457,1.05798202684609,0.128743459423667,0.128290206714139,0.130264853461104,2.22044604925031e-16,1691.39101928676,500.637127216804,1031
"2.5%",1.00187580405132,0.708193836740816,1.44920418389987,0.230006452173166,0.228777078034344,0.231324450820797,0.969914447587703,577.932392626721,286.512220598158,1032
"2.5%",0.949891307620582,0.785722830745609,1.38071199801199,0.231938381661481,0.230857935697907,0.232991070965622,0.166786706674752,2256.90564379134,350.080159924735,1033
"2.5%",1.05287971969498,0.648167549256345,1.35238940733436,0.154748362168279,0.153704180519396,0.156089590900535,0.361841486019188,1767.00943030216,230.692456186659,1034
"2.5%",1.59463771866871,0.414010438689524,0.938154265969668,0.152210879362988,0.150752565192504,0.153183318608368,4.82657926115238e-06,5149.01603223679,1834.20216096936,1035
"2.5%",0.922459256227336,0.883890343361254,1.31790370984146,0.277618925702557,0.276870050261697,0.278373079714953,3.40456429936964e-07,8664.12278954975,660.225217838985,1036
"2.5%",1.14122138524044,0.678913215324125,1.14116220872559,0.222267146293353,0.221575719221746,0.223585734919783,4.82795130540836e-08,4095.45262949478,438.593102174349,1037
"2.5%",0.388150084920637,1.86364628832642,3.74177124937672,0.107896631849063,0.107288039067064,0.108778806871089,0,2739.33075676722,809.443138753169,1038
"2.5%",1.66691814104721,0.354923360251465,1.05994341742256,0.202433757103443,0.200692189986392,0.203775790118786,0.00119010521752339,5679.98094994363,784.449900606288,1039
"2.5%",1.92002387387718,0.315509029018176,0.857000324606041,0.135978454690758,0.135071432794627,0.140961190116551,6.04950399551996e-07,5027.30110373837,238.224324618466,1040
"2.5%",1.41017190697998,0.502997867898389,0.985436333626654,0.181686848218476,0.180572391012203,0.182859896384197,7.30463049825048e-06,22752.1823749841,3985.64275801022,1041
"2.5%",1.29880976619105,0.484173451552692,1.16442279275418,0.113964045845259,0.113132307010524,0.115945472108801,0.00236592930402901,3460.90961419427,1711.98915489546,1042
"2.5%",0.745412129804618,0.841883805027204,2.31069335882677,0.187522609186304,0.186021377611293,0.188701561659049,2.44469071741804e-06,1204.01992556624,341.062183949208,1043
"2.5%",0.722742149471848,0.638330177664703,3.05055195654519,0.0637002310433428,0.0580550354426895,0.0849702974624126,0.000991862807570243,284.008789457753,83.2487216217669,1044
"2.5%",0.566780095216322,0.828805950978689,4.2086912834904,0.0755997874349762,0.0679819568950526,0.102415677448966,1.11022302462516e-14,265.611842241555,88.1203771735481,1045
"2.5%",0.854250562338992,0.915298820032835,1.48252850543846,0.33909460407368,0.338314724107732,0.340132658891555,1.77635683940025e-15,8094.51064302284,499.905251282354,1046
"2.5%",1.02394986738851,0.741632080963706,1.29427341789957,0.264590850771047,0.263902717468879,0.266047249136209,0.361490225581233,3890.79983264424,397.285463669354,1047
"2.5%",0.388150084920637,1.86364628832642,3.74177124937672,0.107896631849063,0.107288039067064,0.108778806871089,0,2739.33075676722,809.443138753169,1048
"2.5%",2.70030323110121,0.169078480800797,0.793898285792491,0.239978661281721,0.238520190775922,0.241842265371753,0.00759465301390372,383.920991416449,113.751894611588,1049
"2.5%",0.745412129804618,0.841883805027204,2.31069335882677,0.187522609186304,0.186021377611293,0.188701561659049,2.44469071741804e-06,1204.01992556624,341.062183949208,1050
"2.5%",1.07009007622334,0.583811831932727,1.48132540711148,0.200003036807236,0.198783296951354,0.201310034605076,0.44016411818869,1052.27873615536,284.368973229109,1051
"2.5%",1.90701608791946,0.319967417177707,0.842179298345231,0.136166746044817,0.135224563888837,0.137531762582996,1.32313512062332e-05,952.371614250497,211.344533393742,1052
"2.5%",1.12239425258068,0.679804745788824,1.19539238114787,0.257219070715919,0.255834547850692,0.258275270555703,0.00477821207044071,1469.49522531525,279.331478278608,105
"2.5%",1.22582523102461,0.56077726027378,1.19454196781262,0.240362689793879,0.239368391764342,0.242069270695676,0.00210127985661845,962.313915594155,155.94749442301,106
"2.5%",1.02904829318488,0.813882602987472,1.14122086961943,0.157841749037972,0.157020283346298,0.158712851364289,0.177864482991067,5208.53740688124,593.011955695386,107
"2.5%",0.937201457117496,0.71618835692942,1.62031953491386,0.16662838177621,0.165730273528838,0.167609085515437,0.17625702295325,1067.70088295445,262.948902659046,108
"2.5%",0.328787190807179,1.8981584783629,5.03515463564464,0.181637177234549,0.180493200541279,0.182946035226171,0,1303.48430565775,331.526613860694,1053
"2.5%",0.722742149471848,0.638330177664703,3.05055195654519,0.0637002310433428,0.0580550354426895,0.0849702974624126,0.000991862807570243,284.008789457753,83.2487216217669,1054
"2.5%",0.566780095216322,0.828805950978689,4.2086912834904,0.0755997874349762,0.0679819568950526,0.102415677448966,1.11022302462516e-14,265.611842241555,88.1203771735481,1055
"2.5%",0.922459256227336,0.883890343361254,1.31790370984146,0.277618925702557,0.276870050261697,0.278373079714953,3.40456429936964e-07,8664.12278954975,660.225217838985,1056
"2.5%",1.14122138524044,0.678913215324125,1.14116220872559,0.222267146293353,0.221575719221746,0.223585734919783,4.82795130540836e-08,4095.45262949478,438.593102174349,1057
"2.5%",0.37959172234684,1.83434903348313,3.87062373586083,0.115638332249704,0.115087692060176,0.116587223801052,0,2761.13756177176,852.206321713487,1058
"2.5%",1.66691814104721,0.354923360251465,1.05994341742256,0.202433757103443,0.200692189986392,0.203775790118786,0.00119010521752339,5679.98094994363,784.449900606288,1059
"2.5%",1.92002387387718,0.315509029018176,0.857000324606041,0.135978454690758,0.135071432794627,0.140961190116551,6.04950399551996e-07,5027.30110373837,238.224324618466,1060
"2.5%",1.41017190697998,0.502997867898389,0.985436333626654,0.181686848218476,0.180572391012203,0.182859896384197,7.30463049825048e-06,22752.1823749841,3985.64275801022,1061
"2.5%",1.29880976619105,0.484173451552692,1.16442279275418,0.113964045845259,0.113132307010524,0.115945472108801,0.00236592930402901,3460.90961419427,1711.98915489546,1062
"2.5%",0.745412129804618,0.841883805027204,2.31069335882677,0.187522609186304,0.186021377611293,0.188701561659049,2.44469071741804e-06,1204.01992556624,341.062183949208,1063
"2.5%",1.40586455953981,0.512966819949614,0.975191597331713,0.178225340504171,0.177187448729991,0.179227530308387,6.25732745618279e-08,5247.93362109743,1127.79675001729,1064
"2.5%",0.566202082141723,1.18212912259489,2.56791308475031,0.199968142059248,0.198720333452951,0.201418516501335,0,23873.7081241267,6273.99040830005,1065
"2.5%",0.822442013166311,0.867097656480398,1.77923304276683,0.299614971910202,0.298167256846369,0.301020538203556,0.000113134521738001,713.871096116458,311.142137383149,1066
"2.5%",1.26641024789943,0.463601070387244,1.35838912178927,0.199649877320834,0.198362390977205,0.200984020461054,0.0374523557998043,438.50171407382,151.949633625577,1067
"2.5%",1.9620139023809,0.24614378864555,1.01809086006922,0.196038652652021,0.194735074279917,0.19717716907,0.00682617543573638,290.598433175461,100.467321692569,1068
